speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
speduc2,Spectacled Duck,Speculanas specularis,L8345908,Salto del Laja,2019-01-01 20:32,2.0,-37.214814,-72.370441,True,-1,Bío-Bío
whfibi,White-faced Ibis,Plegadis chihi,L791057,Estero El Culebrón--Desembocadura,2019-01-01 18:14,15.0,-29.9617015,-71.3218206,False,-1,Coquimbo
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L802007,Valle de las Termas del Plomo,2019-01-01 15:20,1.0,-33.6314865,-69.9248886,False,-1,Región Metropolitana de Santiago
wrlrus1,Wren-like Rushbird,Phleocryptes melanops,L3071230,laguna  cercana a el kark,2019-01-01 15:00,4.0,-51.2796427,-72.6560211,True,-1,Magallanes
mcrtyr1,Many-colored Rush Tyrant,Tachuris rubrigastra,L3071230,laguna  cercana a el kark,2019-01-01 15:00,1.0,-51.2796427,-72.6560211,True,-1,Magallanes
rubsee2,Rufous-bellied Seedsnipe,Attagis gayi,L3222928,Glaciar del Morado,2019-01-01 10:30,2.0,-33.747727,-70.0523579,False,-1,Región Metropolitana de Santiago
juffir1,Juan Fernandez Firecrown,Sephanoides fernandensis,L516547,Isla Robinson Crusoe,2019-01-01 08:56,6.0,-33.6454923,-78.8323975,False,-1,Valparaíso
jfttyr1,Juan Fernandez Tit-Tyrant,Anairetes fernandezianus,L516547,Isla Robinson Crusoe,2019-01-01 08:56,3.0,-33.6454923,-78.8323975,False,-1,Valparaíso
sooter1,Sooty Tern,Onychoprion fuscatus,L7142196,"CL-Valparaíso-Hanga Roa-Islas del Océano - -27,1425x-109,4268",2019-01-02 19:42,1.0,-27.142453,-109.426754,True,-1,Valparaíso
whfibi,White-faced Ibis,Plegadis chihi,L791057,Estero El Culebrón--Desembocadura,2019-01-02 19:42,20.0,-29.9617015,-71.3218206,False,-1,Coquimbo
barswa,Barn Swallow,Hirundo rustica,L606243,Humedal Tres Puentes,2019-01-02 19:26,2.0,-53.1162328,-70.8813,False,-1,Magallanes
sander,Sanderling,Calidris alba,L504553,SN Humedal Río Maipo--Desembocadura,2019-01-02 18:01,800.0,-33.6198013,-71.6275442,False,-1,Valparaíso
osprey,Osprey,Pandion haliaetus,L509064,SN Laguna Conchalí,2019-01-02 16:00,1.0,-31.8780678,-71.4966631,False,-1,Coquimbo
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L819912,Camino Embalse El Yeso--Vega al costado del camino,2019-01-02 16:00,6.0,-33.6900671,-70.1072252,False,-1,Región Metropolitana de Santiago
sheowl,Short-eared Owl,Asio flammeus,L593521,RN El Yali--Laguna Albufera,2019-01-02 14:16,2.0,-33.7592408,-71.7343712,False,-1,Valparaíso
santer1,Sandwich Tern,Thalasseus sandvicensis,L861844,Humedal Urbano Cartagena,2019-01-02 14:06,2.0,-33.5350454,-71.6022348,False,-1,Valparaíso
semsan,Semipalmated Sandpiper,Calidris pusilla,L8350249,"Santo Domingo, Región de Valparaíso, CL (-33,766, -71,746)",2019-01-02 12:56,5.0,-33.7659759,-71.7464133,True,-1,Valparaíso
mallar3,Mallard,Anas platyrhynchos,L3957209,Cementerio Parque del Mar,2019-01-02 12:37,1.0,-32.9561499,-71.5073973,False,1,Valparaíso
trokin,Tropical Kingbird,Tyrannus melancholicus,L6632542,Plaza Vicuña Mackenna,2019-01-02 11:00,1.0,-18.4783676,-70.3224027,False,-1,Arica y Parinacota
leasan,Least Sandpiper,Calidris minutilla,L504553,SN Humedal Río Maipo--Desembocadura,2019-01-02 10:02,8.0,-33.6198013,-71.6275442,False,-1,Valparaíso
ticdor1,Ticking Doradito,Pseudocolopteryx citreola,L504553,SN Humedal Río Maipo--Desembocadura,2019-01-02 10:02,2.0,-33.6198013,-71.6275442,False,-1,Valparaíso
rudtur,Ruddy Turnstone,Arenaria interpres,L571538,Hoteles Apacheta y Arica,2019-01-03 19:07,60.0,-18.4907641,-70.3291285,False,-1,Arica y Parinacota
scrcow1,Screaming Cowbird,Molothrus rufoaxillaris,L8393699,Estero Zamorano,2019-01-03 18:00,2.0,-34.4443184,-71.0702703,True,-1,Libertador General Bernardo O'Higgins
saffin,Saffron Finch,Sicalis flaveola,L8358201,"CL (-39.806, -73.253)",2019-01-03 17:39,1.0,-39.8055352,-73.2531095,True,-1,Los Ríos
brnowl,Barn Owl,Tyto alba,L774555,Campus Sur -  Universidad de Chile,2019-01-03 16:47,1.0,-33.5708994,-70.6356955,False,-1,Región Metropolitana de Santiago
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L551450,SN Laguna El Peral,2019-01-03 16:26,1.0,-33.5052153,-71.607154,False,-1,Valparaíso
rosspo1,Roseate Spoonbill,Platalea ajaja,L668852,Río Lluta--Desembocadura,2019-01-03 16:06,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
hoogre1,Hooded Grebe,Podiceps gallardoi,L8355211,"Y-71, Porvenir CL-Magallanes y La Antártica Chilena (-53,3875,-70,3366)",2019-01-03 09:51,2.0,-53.387548,-70.336609,True,-1,Magallanes
whfibi,White-faced Ibis,Plegadis chihi,L791057,Estero El Culebrón--Desembocadura,2019-01-03 08:23,12.0,-29.9617015,-71.3218206,False,-1,Coquimbo
mallar3,Mallard,Anas platyrhynchos,L5054215,Villarrica--Humedal Urbano Mallolafken,2019-01-04 19:38,1.0,-39.278091,-72.2206329,False,1,Araucanía
blkvul,Black Vulture,Coragyps atratus,L684533,Valle del Río Lluta--Curso inferior,2019-01-04 19:03,2.0,-18.4107674,-70.2204037,False,-1,Arica y Parinacota
plurai1,Plumbeous Rail,Pardirallus sanguinolentus,L3453877,Casa Santiago,2019-01-04 18:00,1.0,-33.455997,-70.56343,True,-1,Región Metropolitana de Santiago
