speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
soater1,South American Tern,Sterna hirundinacea,L11387752,"Carlos Duce, Valdivia, Los Ríos, CL (-39.876, -73.397)",2021-01-01 21:03,339.0,-39.8758152,-73.3972476,True,-1,Los Ríos
blkski,Black Skimmer,Rynchops niger,L11387752,"Carlos Duce, Valdivia, Los Ríos, CL (-39.876, -73.397)",2021-01-01 21:03,3.0,-39.8758152,-73.3972476,True,-1,Los Ríos
bcnher,Black-crowned Night-Heron,Nycticorax nycticorax,L11387752,"Carlos Duce, Valdivia, Los Ríos, CL (-39.876, -73.397)",2021-01-01 21:03,11.0,-39.8758152,-73.3972476,True,-1,Los Ríos
banswa,Bank Swallow,Riparia riparia,L606243,Humedal Tres Puentes,2021-01-01 20:00,1.0,-53.1162328,-70.8813,False,-1,Magallanes
andcon1,Andean Condor,Vultur gryphus,L13179759,"Faldeos volcan quetrupillan, Los Ríos, CL (-39,532, -71,737)",2021-01-01 18:15,2.0,-39.5323621,-71.7371635,True,-1,Los Ríos
moucar1,Mountain Caracara,Daptrius megalopterus,L13179759,"Faldeos volcan quetrupillan, Los Ríos, CL (-39,532, -71,737)",2021-01-01 18:15,4.0,-39.5323621,-71.7371635,True,-1,Los Ríos
easkin,Eastern Kingbird,Tyrannus tyrannus,L9814469,Suca,2021-01-01 17:10,1.0,-19.2672672,-69.7973371,True,-1,Tarapacá
rayfin1,Raimondi's Yellow-Finch,Sicalis raimondii,L9814469,Suca,2021-01-01 17:10,6.0,-19.2672672,-69.7973371,True,-1,Tarapacá
cingrt1,Cinereous Ground-Tyrant,Muscisaxicola cinereus,L6663966,"cumbre volcan quetrupillan (-39,496, -71,723)",2021-01-01 14:10,1.0,-39.496368,-71.7233057,True,-1,Los Ríos
rudtur,Ruddy Turnstone,Arenaria interpres,L571538,Hoteles Apacheta y Arica,2021-01-01 09:45,51.0,-18.4907641,-70.3291285,False,-1,Arica y Parinacota
stbbit1,Stripe-backed Bittern,Ixobrychus involucris,L13383687,Río Cobquecura--Puente Las Niñas,2021-01-01 09:00,1.0,-36.1347362,-72.8006239,False,-1,Ñuble
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L13137416,"250, Puchuncaví CL-Valparaíso -32.64244, -71.39545",2021-01-02 18:43,6.0,-32.642443,-71.395451,True,-1,Valparaíso
pattyr2,Patagonian Tyrant,Colorhamphus parvirostris,L13169763,"Unnamed Road, Arauco, Bío Bío, CL (-37,262, -73,195)",2021-01-02 16:53,3.0,-37.2623709,-73.194959,True,-1,Bío-Bío
wilpha,Wilson's Phalarope,Phalaropus tricolor,L3291450,Laguna de los Patos (Puchuncavi),2021-01-02 15:35,11.0,-32.7495737,-71.4318448,False,-1,Valparaíso
barswa,Barn Swallow,Hirundo rustica,L9098609,Estancia Vega Castillo,2021-01-02 15:00,2.0,-51.2633863,-72.6611058,True,-1,Magallanes
moucar1,Mountain Caracara,Daptrius megalopterus,L13186882,"Villarrica Traverse, Los Ríos, CL (-39,485, -71,814)",2021-01-02 14:28,2.0,-39.4854013,-71.8136925,True,-1,Chile
ongtyr1,Ochre-naped Ground-Tyrant,Muscisaxicola flavinucha,L13186882,"Villarrica Traverse, Los Ríos, CL (-39,485, -71,814)",2021-01-02 14:28,1.0,-39.4854013,-71.8136925,True,-1,Chile
whfibi,White-faced Ibis,Plegadis chihi,L570658,SN Laguna Batuco,2021-01-02 08:29,9.0,-33.2064427,-70.8279133,False,-1,Región Metropolitana de Santiago
leasan,Least Sandpiper,Calidris minutilla,L668852,Río Lluta--Desembocadura,2021-01-02 07:49,3.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
gubter1,Gull-billed Tern,Gelochelidon nilotica,L668852,Río Lluta--Desembocadura,2021-01-02 07:49,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
brnpel,Brown Pelican,Pelecanus occidentalis,L668852,Río Lluta--Desembocadura,2021-01-02 07:49,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
bknsti,Black-necked Stilt,Himantopus mexicanus,L509064,SN Laguna Conchalí,2021-01-03 20:45,120.0,-31.8780678,-71.4966631,False,-1,Coquimbo
mallar3,Mallard,Anas platyrhynchos,L9650758,Puerto Varas--La Puntilla,2021-01-03 19:08,2.0,-41.3126656,-72.9784357,False,1,Los Lagos
refcoo1,Red-fronted Coot,Fulica rufifrons,L904625,Río Loa--Desembocadura,2021-01-03 18:42,1.0,-21.4292013,-70.0585485,False,-1,Tarapacá
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L7949531,El Yeco,2021-01-03 17:53,2.0,-33.3112681,-71.6522134,False,-1,Valparaíso
andcon1,Andean Condor,Vultur gryphus,L13179772,"Faldeo sur volcan Villarrica , Los Ríos, CL (-39,475, -71,908)",2021-01-03 15:02,2.0,-39.4749485,-71.9083317,True,-1,Los Ríos
jufpet,Juan Fernandez Petrel,Pterodroma externa,L5884993,Quebrada San José,2021-01-03 12:20,1.0,-33.3220052,-71.6502357,False,-1,Valparaíso
