speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
whimbr,Whimbrel,Numenius phaeopus,L668852,Río Lluta--Desembocadura,2017-01-01 19:00,4.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
fotfly,Fork-tailed Flycatcher,Tyrannus savana,L668852,Río Lluta--Desembocadura,2017-01-01 19:00,2.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
permea1,Peruvian Meadowlark,Leistes bellicosus,L668852,Río Lluta--Desembocadura,2017-01-01 19:00,2.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
burpar,Burrowing Parakeet,Cyanoliseus patagonus,L2965712,Bramaderos,2017-01-01 18:25,800.0,-29.4194182,-70.8453086,False,-1,Coquimbo
pibgre,Pied-billed Grebe,Podilymbus podiceps,L833034,Embalse de la Luz,2017-01-01 16:30,11.0,-33.1396175,-71.5772581,False,-1,Valparaíso
gregre1,Great Grebe,Podiceps major,L833034,Embalse de la Luz,2017-01-01 16:30,18.0,-33.1396175,-71.5772581,False,-1,Valparaíso
semsan,Semipalmated Sandpiper,Calidris pusilla,L674599,Antofagasta,2017-01-01 15:44,5.0,-23.6495561,-70.3948975,False,-1,Antofagasta
cosswa1,Coscoroba Swan,Coscoroba coscoroba,L1033490,Fiordo Ultima Esperanza/Canal Senoret,2017-01-01 13:35,150.0,-51.566827,-72.8613281,False,-1,Magallanes
andduc1,Andean Duck,Oxyura ferruginea,L4546608,Lago Frio,2017-01-01 08:06,10.0,-45.6640264,-71.9381332,False,-1,Aisén del General Carlos Ibáñez del Campo
chifla1,Chilean Flamingo,Phoenicopterus chilensis,L5211377,"CL-Coquimbo-CH-5 - -30,1183x-71,3646 - 02-01-2017 17:47",2017-01-02 17:47,1.0,-30.118341,-71.364589,True,-1,Coquimbo
shbcan2,Sharp-billed Canastero,Asthenes pyrrholeuca,L4610999,Vega Las Cuevas,2017-01-02 16:25,1.0,-29.4520389,-70.5828077,False,-1,Coquimbo
scrcow1,Screaming Cowbird,Molothrus rufoaxillaris,L2297815,Nilahue Cornejo,2017-01-02 16:00,1.0,-34.6601682,-71.7399716,False,-1,Libertador General Bernardo O'Higgins
rngtyr1,Rufous-naped Ground-Tyrant,Muscisaxicola rufivertex,L5242374,Bofedal Los Cóndores,2017-01-02 13:45,1.0,-29.4089183,-70.4866719,False,-1,Coquimbo
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L5219085,"CL-Metropolitana de Santiago-San José de Maipo-Embalse El Yeso - -33,6450x-70,0461",2017-01-02 13:00,20.0,-33.644977,-70.046056,True,-1,Región Metropolitana de Santiago
petkne1,Peruvian Thick-knee,Burhinus superciliaris,L684533,Valle del Río Lluta--Curso inferior,2017-01-02 11:03,23.0,-18.4107674,-70.2204037,False,-1,Arica y Parinacota
andduc1,Andean Duck,Oxyura ferruginea,L907103,Laguna Jara,2017-01-02 10:30,10.0,-38.4531854,-71.2938881,False,-1,Araucanía
osprey,Osprey,Pandion haliaetus,L904625,Río Loa--Desembocadura,2017-01-02 09:00,1.0,-21.4292013,-70.0585485,False,-1,Tarapacá
colplo1,Collared Plover,Charadrius collaris,L504553,SN Humedal Río Maipo--Desembocadura,2017-01-02 08:30,17.0,-33.6198013,-71.6275442,False,-1,Valparaíso
redkno,Red Knot,Calidris canutus,L504553,SN Humedal Río Maipo--Desembocadura,2017-01-02 08:30,4.0,-33.6198013,-71.6275442,False,-1,Valparaíso
santer1,Sandwich Tern,Thalasseus sandvicensis,L504553,SN Humedal Río Maipo--Desembocadura,2017-01-02 08:30,1.0,-33.6198013,-71.6275442,False,-1,Valparaíso
gyhalb,Gray-headed Albatross,Thalassarche chrysostoma,L1413869,Drake Passage--Chilean waters,2017-01-02 08:30,2.0,-58.6180174,-64.7815703,False,-1,Magallanes
limalb1,Light-mantled Albatross,Phoebetria palpebrata,L1413869,Drake Passage--Chilean waters,2017-01-02 08:30,1.0,-58.6180174,-64.7815703,False,-1,Magallanes
