speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
oashum1,Oasis Hummingbird,Rhodopis vesper,L7402077,"Calle Isluga, Huechuraba CL-Metropolitana de Santiago (-33,3542,-70,6842)",2020-01-01 20:40,1.0,-33.354203,-70.684158,True,-1,Región Metropolitana de Santiago
fotfly,Fork-tailed Flycatcher,Tyrannus savana,L10407545,Teno,2020-01-01 20:30,1.0,-34.8696834,-71.1801806,True,-1,Maule
whfibi,White-faced Ibis,Plegadis chihi,L791057,Estero El Culebrón--Desembocadura,2020-01-01 19:18,18.0,-29.9617015,-71.3218206,False,-1,Coquimbo
mallar3,Mallard,Anas platyrhynchos,L10397332,"Puerto Varas, Lago Llanquihue",2020-01-01 18:28,5.0,-41.3221846,-72.9755719,True,1,Los Lagos
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L1030452,Camino a La Parva--Vegas y Pastizales,2020-01-01 17:30,11.0,-33.3442243,-70.299046,False,-1,Región Metropolitana de Santiago
scrcow1,Screaming Cowbird,Molothrus rufoaxillaris,L762620,Parque Padre Hurtado,2020-01-01 17:11,1.0,-33.431692,-70.5450153,False,-1,Región Metropolitana de Santiago
commin1,Common Miner,Geositta cunicularia,L604480,Estero Los Molles--Desembocadura,2020-01-01 15:27,4.0,-32.2380055,-71.4980525,False,-1,Valparaíso
willet1,Willet,Tringa semipalmata,L10416635,"661 Avenida Comandante San Martín, Arica, Arica y Parinacota, CL (-18,492, -70,329)",2020-01-01 08:11,250.0,-18.4922575,-70.32907,True,-1,Arica y Parinacota
whbmoc1,White-banded Mockingbird,Mimus triurus,L1062972,Parque Andino Juncal,2020-01-01 07:30,1.0,-32.915954,-70.0926232,False,-1,Valparaíso
cthhue1,Chestnut-throated Huet-huet,Pteroptochos castaneus,L1186273,RN Altos de Lircay,2020-01-01 07:00,15.0,-35.6035094,-70.9881592,False,-1,Maule
refcoo1,Red-fronted Coot,Fulica rufifrons,L904625,Río Loa--Desembocadura,2020-01-02 19:15,3.0,-21.4292013,-70.0585485,False,-1,Tarapacá
regcoo1,Red-gartered Coot,Fulica armillata,L904625,Río Loa--Desembocadura,2020-01-02 19:15,3.0,-21.4292013,-70.0585485,False,-1,Tarapacá
