speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
auscan1,Austral Canastero,Asthenes anthoides,L17357941,"Valle Rio Aviles PN Patagonia, Aysén, CL (-47,042, -72,181)",2022-01-01,6.0,-47.0418525,-72.1813625,True,-1,Aisén del General Carlos Ibáñez del Campo
hudgod,Hudsonian Godwit,Limosa haemastica,L606243,Humedal Tres Puentes,2022-01-01,3.0,-53.1162328,-70.8813,False,-1,Magallanes
pecsan,Pectoral Sandpiper,Calidris melanotos,L606243,Humedal Tres Puentes,2022-01-01,1.0,-53.1162328,-70.8813,False,-1,Magallanes
bichaw4,Chilean Hawk,Accipiter chilensis,L5114227,El Quisco--Quebrada las Petras,2022-01-01,3.0,-33.369826,-71.693201,False,-1,Valparaíso
swtkit,Swallow-tailed Kite,Elanoides forficatus,L516522,Pica,2022-01-01,1.0,-20.4873261,-69.3197823,False,-1,Tarapacá
margod,Marbled Godwit,Limosa fedoa,L636004,Estero Tongoy--Desembocadura,2022-01-01,1.0,-30.25497,-71.49359,False,-1,Coquimbo
rulowl1,Rufous-legged Owl,Strix rufipes,L7701763,"Sector San Juan, Florida",2022-01-01,1.0,-36.8176164,-72.7719811,True,-1,Bío-Bío
ocftap1,Ochre-flanked Tapaculo,Eugralla paradoxa,L7701763,"Sector San Juan, Florida",2022-01-01,1.0,-36.8176164,-72.7719811,True,-1,Bío-Bío
perter2,Peruvian Tern,Sternula lorata,L21622376,Caleta Punta Lagarto,2022-01-01,1.0,-23.3896544,-70.6000291,True,-1,Antofagasta
hrshaw,Harris's Hawk,Parabuteo unicinctus,L17298774,"Santiago Flores, Arica CL-Arica y Parinacota -18.51053, -70.22786",2022-01-02,3.0,-18.510533,-70.227863,True,-1,Arica y Parinacota
mallar3,Mallard,Anas platyrhynchos,L606195,Estero Catapilco--Desembocadura (Laguna Zapallar),2022-01-02,45.0,-32.6327613,-71.426518,False,2,Valparaíso
rempar,Red-masked Parakeet,Psittacara erythrogenys,L940378,Museo de Azapa,2022-01-02,2.0,-18.5157287,-70.1809323,False,2,Arica y Parinacota
wilpha,Wilson's Phalarope,Phalaropus tricolor,L504548,Estero Mantagua,2022-01-02,1.0,-32.8844165,-71.5067482,False,-1,Valparaíso
burpar,Burrowing Parakeet,Cyanoliseus patagonus,L10020663,Serena Norte Parcela Monitoreo,2022-01-02,24.0,-29.8469339,-71.2772118,True,-1,Coquimbo
andfla2,Andean Flamingo,Phoenicoparrus andinus,L604466,Río Choapa--Desembocadura,2022-01-02,1.0,-31.6204244,-71.5592766,False,-1,Coquimbo
margod,Marbled Godwit,Limosa fedoa,L2869629,Estero Tongoy,2022-01-02,1.0,-30.2601051,-71.4792395,True,-1,Coquimbo
scrcow1,Screaming Cowbird,Molothrus rufoaxillaris,L3087042,Talca--Canal Pencahue,2022-01-02,1.0,-35.4225129,-71.6957152,False,-1,Maule
mallar3,Mallard,Anas platyrhynchos,L10495783,Puerto Varas--Muelle,2022-01-03,7.0,-41.317067,-72.981546,False,2,Los Lagos
pecsan,Pectoral Sandpiper,Calidris melanotos,L606243,Humedal Tres Puentes,2022-01-03,1.0,-53.1162328,-70.8813,False,-1,Magallanes
