speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
sctear1,Scale-throated Earthcreeper,Upucerthia dumetaria,L3087329,Baños del Campanario,2018-09-23 11:00,12.0,-35.9351327,-70.5960631,False,-1,Maule
corcan1,Cordilleran Canastero,Asthenes modesta,L3087329,Baños del Campanario,2018-09-23 11:00,1.0,-35.9351327,-70.5960631,False,-1,Maule
ashgoo1,Ashy-headed Goose,Chloephaga poliocephala,L6427681,Río Lonquimay--Humedal,2018-09-24 17:00,450.0,-38.4737924,-71.368373,False,-1,Araucanía
seacin1,Seaside Cinclodes,Cinclodes nigrofumosus,L7971057,cuevas de anzota,2018-09-24 10:13,5.0,-18.5471529,-70.3310092,True,-1,Arica y Parinacota
bkbplo,Black-bellied Plover,Pluvialis squatarola,L7960676,Cohiuin,2018-09-24 10:00,1.0,-41.5098568,-72.855904,True,-1,Los Lagos
auscan1,Austral Canastero,Asthenes anthoides,L7957197,"Localidad desconocida - (-38,941, -73,343)",2018-09-24 07:45,1.0,-38.9406504,-73.3427468,True,-1,Araucanía
andduc1,Andean Duck,Oxyura ferruginea,L5434050,Laguna Chica de Icalma,2018-09-25 17:47,2.0,-38.807343,-71.3277912,False,-1,Araucanía
auscan1,Austral Canastero,Asthenes anthoides,L7960178,"R-959, Porvenir, Región de la Araucanía, CL (-38,607, -71,153)",2018-09-25 16:07,1.0,-38.607091,-71.1530222,True,-1,Araucanía
gresht1,Great Shrike-Tyrant,Agriornis lividus,L629583,SN Península de Hualpén--Humedal Lenga,2018-09-25 12:00,1.0,-36.7694689,-73.1668103,False,-1,Bío-Bío
bkbplo,Black-bellied Plover,Pluvialis squatarola,L7964297,Chamiza--Playa,2018-09-26 18:13,2.0,-41.507,-72.857,False,-1,Los Lagos
burpar,Burrowing Parakeet,Cyanoliseus patagonus,L7963315,carretera 5 Norte KM 541,2018-09-26 18:00,4.0,-29.1294737,-70.9402235,True,-1,Atacama
andduc1,Andean Duck,Oxyura ferruginea,L2900685,Hacienda El Tangue,2018-09-26 17:02,3.0,-30.3403211,-71.5658158,False,-1,Coquimbo
margod,Marbled Godwit,Limosa fedoa,L636004,Estero Tongoy--Desembocadura,2018-09-26 15:01,1.0,-30.25497,-71.49359,False,-1,Coquimbo
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L629583,SN Península de Hualpén--Humedal Lenga,2018-09-26 09:45,2.0,-36.7694689,-73.1668103,False,-1,Bío-Bío
speduc2,Spectacled Duck,Speculanas specularis,L4815183,Laguna Estancia Vega Castillo,2018-09-26 09:00,21.0,-51.2860778,-72.6636171,True,-1,Magallanes
rubmin1,Rufous-banded Miner,Geositta rufipennis,L4815183,Laguna Estancia Vega Castillo,2018-09-26 09:00,1.0,-51.2860778,-72.6636171,True,-1,Magallanes
jamfla1,James's Flamingo,Phoenicoparrus jamesi,L668852,Río Lluta--Desembocadura,2018-09-27 17:50,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
grhgul,Gray-hooded Gull,Chroicocephalus cirrocephalus,L668852,Río Lluta--Desembocadura,2018-09-27 17:50,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
