speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
tamcon1,Tamarugo Conebill,Conirostrum tamarugense,L3255029,RN Los Flamencos--Bosque de Tambillo,2015-01-01,9.0,-23.1200457,-68.0791426,False,-1,Antofagasta
impcor1,Imperial Cormorant,Leucocarbo atriceps,L3457267,"Canal Errazuriz, N of junction with Canal Corcovado",2015-01-01,300.0,-45.6828918,-73.8545609,True,-1,Aisén del General Carlos Ibáñez del Campo
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L13172288,Los Pinares de Algarrobo,2015-01-02,0.0,-33.3864937,-71.6618746,True,-1,Valparaíso
snoplo5,Snowy Plover,Charadrius nivosus,L2992535,Punta Puyay,2015-01-02,7.0,-32.5028102,-71.4310104,True,-1,Valparaíso
ticdor1,Ticking Doradito,Pseudocolopteryx citreola,L629586,SN Humedal Los Batros y Laguna Grande--Laguna Grande San Pedro,2015-01-02,3.0,-36.8502303,-73.1083488,False,-1,Bío-Bío
rebtro,Red-billed Tropicbird,Phaethon aethereus,L1108905,RN Pingüino de Humboldt--Isla Chañaral,2015-01-02,1.0,-29.0360601,-71.5790176,False,-1,Atacama
sander,Sanderling,Calidris alba,L6941918,Playa norte - Algarrobo,2015-01-03,99.0,-33.323152,-71.651775,True,-1,Valparaíso
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L504548,Estero Mantagua,2015-01-03,4.0,-32.8844165,-71.5067482,False,-1,Valparaíso
margod,Marbled Godwit,Limosa fedoa,L673642,Río Elqui--Desembocadura,2015-01-03,1.0,-29.8933968,-71.2727094,False,-1,Coquimbo
budger,Budgerigar,Melopsittacus undulatus,L3278451,Alonso de Ercilla,2015-01-03,1.0,-36.6251516,-72.0708328,True,1,Ñuble
cingrt1,Cinereous Ground-Tyrant,Muscisaxicola cinereus,L1040783,Embalse La Laguna,2015-01-03,1.0,-30.2187285,-70.0371552,False,-1,Coquimbo
whfibi,White-faced Ibis,Plegadis chihi,L3043703,Humedal Los Batros,2015-01-03,40.0,-36.9924073,-73.1218243,False,-1,Bío-Bío
hudgod,Hudsonian Godwit,Limosa haemastica,L636004,Estero Tongoy--Desembocadura,2015-01-04,7.0,-30.25497,-71.49359,False,-1,Coquimbo
whcpin,White-cheeked Pintail,Anas bahamensis,L793367,SN Humedal Río Copiapó--Desembocadura,2015-01-04,6.0,-27.3177895,-70.9263611,False,-1,Atacama
y00678,Crested Caracara,Caracara plancus,L793367,SN Humedal Río Copiapó--Desembocadura,2015-01-04,1.0,-27.3177895,-70.9263611,False,-1,Atacama
guacor1,Guanay Cormorant,Leucocarbo bougainvillii,L571412,MN Islotes de Puñihuil,2015-01-04,1.0,-41.9252706,-74.0392685,False,-1,Los Lagos
thbsis1,Thick-billed Siskin,Spinus crassirostris,L811659,MN El Morado,2015-01-04,2.0,-33.7945557,-70.0733757,False,-1,Región Metropolitana de Santiago
perter2,Peruvian Tern,Sternula lorata,L614832,Arica Pelagico,2015-01-04,3.0,-18.4665838,-70.4587555,True,-1,Arica y Parinacota
bulshe,Buller's Shearwater,Ardenna bulleri,L614832,Arica Pelagico,2015-01-04,1.0,-18.4665838,-70.4587555,True,-1,Arica y Parinacota
rempar,Red-masked Parakeet,Psittacara erythrogenys,L940378,Museo de Azapa,2015-01-04,3.0,-18.5157287,-70.1809323,False,1,Arica y Parinacota
ashgoo1,Ashy-headed Goose,Chloephaga poliocephala,L2386521,Laguna Cabeza de Mar 4,2015-01-05,105.0,-52.6887564,-70.8954191,False,-1,Magallanes
cintea,Cinnamon Teal,Spatula cyanoptera,L2386521,Laguna Cabeza de Mar 4,2015-01-05,1.0,-52.6887564,-70.8954191,False,-1,Magallanes
andduc1,Andean Duck,Oxyura ferruginea,L2386521,Laguna Cabeza de Mar 4,2015-01-05,21.0,-52.6887564,-70.8954191,False,-1,Magallanes
relcor1,Red-legged Cormorant,Poikilocarbo gaimardi,L571412,MN Islotes de Puñihuil,2015-01-05,125.0,-41.9252706,-74.0392685,False,-1,Los Lagos
royalb1,Royal Albatross,Diomedea epomophora,L3705789,At Sea - Drake Passage north,2015-01-05,12.0,-56.8191383,-65.8665991,True,-1,Magallanes
wanalb,Wandering Albatross,Diomedea exulans,L3705789,At Sea - Drake Passage north,2015-01-05,8.0,-56.8191383,-65.8665991,True,-1,Magallanes
blupet1,Blue Petrel,Halobaena caerulea,L3705789,At Sea - Drake Passage north,2015-01-05,2.0,-56.8191383,-65.8665991,True,-1,Magallanes
