REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
VIII,NIQUEN,20,"315,65","120,25","91,61","527,51","83,38","6,00","616,89","145,00","115,93","58,40","319,33","936,22","2,60","141,75","144,35","1.080,57"
VIII,SAN FABIAN,24,"0,48","0,02","0,00","0,50","4,10","0,00","4,60","243,30","6,88","15,60","265,78","270,38","0,00","0,00","0,00","270,38"
VIII,COIHUECO,45,"49,86","0,44","55,00","105,30","0,00","0,00","105,30","21,10","73,49","36,48","131,06","236,36","10,14","36,04","46,18","282,54"
VIII,SAN IGNACIO,7,"0,00","0,00","0,00","0,00","0,10","0,00","0,10","0,40","10,39","23,50","34,29","34,39","0,97","34,09","35,06","69,45"
VIII,EL CARMEN,11,"0,00","0,00","2,10","2,10","0,00","1,22","3,32","2,00","12,14","7,00","21,14","24,46","80,00","0,00","80,00","104,46"
VIII,YUNGAY,29,"2,50","1,26","0,35","4,11","0,01","3,00","7,12","30,00","42,08","10,72","82,80","89,92","0,00","28,70","28,70","118,62"
VIII,PEMUCO,14,"95,80","34,30","19,00","149,10","2,40","0,00","151,50","0,00","312,43","2,36","314,79","466,29","8,52","214,00","222,52","688,81"
VIII,BULNES,22,"204,00","65,00","15,50","284,50","27,53","0,42","312,45","40,87","79,84","92,27","212,98","525,43","4,00","32,61","36,61","562,04"
VIII,QUILLON,44,"8,83","200,00","116,04","324,87","205,00","0,00","529,87","141,46","383,08","360,80","885,34","1.415,21","154,94","0,03","154,97","1.570,18"
VIII,COELEMU,43,"29,33","12,05","1,39","42,77","9,54","0,00","52,31","1,50","11,61","2,65","15,76","68,07","0,00","5,30","5,30","73,37"
VIII,TREGUACO,4,"0,06","0,00","0,00","0,06","0,00","0,00","0,06","0,00","0,05","0,00","0,05","0,11","0,00","0,00","0,00","0,11"
VIII,RANQUIL,13,"0,28","0,00","0,30","0,58","0,00","0,00","0,58","0,00","4,22","1,54","5,76","6,34","0,00","0,00","0,00","6,34"
VIII,COBQUECURA,2,"0,00","0,00","0,00","0,00","0,10","0,00","0,10","0,00","0,52","0,04","0,56","0,66","0,00","0,51","0,51","1,17"
VIII,QUIRIHUE,26,"2.833,94","124,82","2.654,70","5.613,46","1.232,02","0,00","6.845,48","796,80","2.506,42","473,79","3.777,01","10.622,49","859,50","6,68","866,18","11.488,67"
VIII,NINHUE,8,"3,70","14,60","0,00","18,30","0,70","0,00","19,00","0,00","9,35","14,29","23,64","42,64","0,10","0,00","0,10","42,74"
VIII,SAN NICOLAS,15,"404,60","0,00","1.422,19","1.826,79","3.115,27","7,70","4.949,76","494,50","3.385,04","672,38","4.551,92","9.501,68","2.854,02","1,70","2.855,72","12.357,40"
VIII,CHILLAN VIEJO,31,"2,06","0,00","0,20","2,26","79,60","0,00","81,86","0,55","47,80","108,93","157,28","239,14","44,00","0,50","44,50","283,64"
