FireID,FireSeason,RegionCode,Region_CONAF,FireName_CONAF,Area_CONAF [ha],IgnitionDate_CONAF,ControlDate_CONAF,Latitude [°],Longitude [°],FireScar,FolderLocation,FireScarImgName,PreFireImgName,PostFireImgName,RdNBRImgName,SeverityImgName,FireScarVectorName,SeverityVectorName,Threshold,NorthBoundLatitude [°],SouthBoundLatitude [°],WestBoundLongitude [°],EastBoundLongitude [°],Width [pixels],Height [pixels],TotalArea [m2],AreaUnchS [m2],AreaLowS [m2],AreaModS [m2],AreaHighS [m2],FireScarPolygons,SeverityPolygons,OverlapIDs,Observations
ID183685,2016,CL-BI,BioBio,PILE,17.0,2016-03-29,2016-03-29,-37.7231,-72.1369,1,FireScar_CL-BI_BioBio_2016,FireScar_CL-BI_ID183685_u455_20160329.tif,ImgPreF_CL-BI_ID183685_u455_20160329.tif,ImgPosF_CL-BI_ID183685_u455_20160329.tif,RdNBR_CL-BI_ID183685_u455_20160329.tif,Severity_CL-BI_ID183685_u455_20160329.tif,FireScar_CL-BI_ID183685_u455_20160329.shp,Severity_CL-BI_ID183685_u455_20160329.shp,455.0,-37.7109163012239,-37.7349013193099,-72.1364241138374,-72.10085082858626,132.0,89.0,2522803.56390381,0.0,0.0,483251.82989502,2039551.73400879,10.0,197.0,,
ID183686,2016,CL-AR,Araucania,SANTA LUISA,19.0,2016-03-01,2016-03-01,-37.9978,-72.4594,1,FireScar_CL-AR_Araucania_2016,FireScar_CL-AR_ID183686_u300_20160301.tif,ImgPreF_CL-AR_ID183686_u300_20160301.tif,ImgPosF_CL-AR_ID183686_u300_20160301.tif,RdNBR_CL-AR_ID183686_u300_20160301.tif,Severity_CL-AR_ID183686_u300_20160301.tif,FireScar_CL-AR_ID183686_u300_20160301.shp,Severity_CL-AR_ID183686_u300_20160301.shp,300.0,-37.9955025832329,-37.99738904532955,-72.4617040782171,-72.45927862694997,9.0,7.0,24074.8648681641,0.0,1416.16369628906,21242.5297851562,1416.17138671875,1.0,6.0,,
ID183687,2016,CL-LR,Los Rios,ROFUCO ALTO,17.0,2016-03-08,2016-03-08,-40.2272,-72.8486,0,,,,,,,,,,,,,,,,,,,,,,,,
ID183688,2016,CL-BI,BioBio,LOMAS DE PICOLTUE,17.0,2016-03-14,2016-03-14,-37.675,-72.25,1,FireScar_CL-BI_BioBio_2016,FireScar_CL-BI_ID183688_u414_20160314.tif,ImgPreF_CL-BI_ID183688_u414_20160314.tif,ImgPosF_CL-BI_ID183688_u414_20160314.tif,RdNBR_CL-BI_ID183688_u414_20160314.tif,Severity_CL-BI_ID183688_u414_20160314.tif,FireScar_CL-BI_ID183688_u414_20160314.shp,Severity_CL-BI_ID183688_u414_20160314.shp,414.0,-37.6640242433928,-37.67615149972841,-72.2514983017331,-72.24637790461361,19.0,45.0,128722.154418945,0.0,0.0,28447.1298828125,100275.024536133,3.0,20.0,,
ID183689,2016,CL-BI,BioBio,EL EUCALIPTO LOTE C-2,17.0,2016-02-23,2016-02-23,-37.3022,-72.6406,1,FireScar_CL-BI_BioBio_2016,FireScar_CL-BI_ID183689_u418_20160223.tif,ImgPreF_CL-BI_ID183689_u418_20160223.tif,ImgPosF_CL-BI_ID183689_u418_20160223.tif,RdNBR_CL-BI_ID183689_u418_20160223.tif,Severity_CL-BI_ID183689_u418_20160223.tif,FireScar_CL-BI_ID183689_u418_20160223.shp,Severity_CL-BI_ID183689_u418_20160223.shp,418.0,-37.294008177864,-37.29724211288683,-72.6481943312003,-72.64469090159223,13.0,12.0,31446.1051635742,0.0,0.0,4288.12445068359,27157.9807128906,2.0,7.0,,
ID183690,2016,CL-ML,Maule,SAN JAVIER,17.0,2016-02-03,2016-02-03,-35.5672,-71.7305,1,FireScar_CL-ML_Maule_2016,FireScar_CL-ML_ID183690_u375_20160203.tif,ImgPreF_CL-ML_ID183690_u375_20160203.tif,ImgPosF_CL-ML_ID183690_u375_20160203.tif,RdNBR_CL-ML_ID183690_u375_20160203.tif,Severity_CL-ML_ID183690_u375_20160203.tif,FireScar_CL-ML_ID183690_u375_20160203.shp,Severity_CL-ML_ID183690_u375_20160203.shp,375.0,-35.5646614244055,-35.56789535942833,-71.73649414934741,-71.72490588218226,43.0,12.0,67206.141784668,0.0,0.0,56248.5776977539,10957.5640869141,2.0,15.0,,
ID183692,2016,CL-ML,Maule,MERCEDES,18.0,2016-02-19,2016-02-19,-35.472,-71.5512,0,,,,,,,,,,,,,,,,,,,,,,,,
ID183693,2016,CL-VS,Valparaiso,EL ESCORIAL,18.0,2015-11-19,2015-11-20,-32.7339,-70.7744,1,FireScar_CL-VS_Valparaiso_2016,FireScar_CL-VS_ID183693_u410_20151119.tif,ImgPreF_CL-VS_ID183693_u410_20151119.tif,ImgPosF_CL-VS_ID183693_u410_20151119.tif,RdNBR_CL-VS_ID183693_u410_20151119.tif,Severity_CL-VS_ID183693_u410_20151119.tif,FireScar_CL-VS_ID183693_u410_20151119.shp,Severity_CL-VS_ID183693_u410_20151119.shp,410.0,-32.7301173768948,-32.73442929025858,-70.7746679746406,-70.76281021289022,44.0,16.0,183458.395751953,0.0,0.0,64927.755859375,118530.639892578,2.0,35.0,,
ID183694,2016,CL-BI,BioBio,EL MANZANO,18.0,2016-03-06,2016-03-06,-36.5262,-72.1169,1,FireScar_CL-BI_BioBio_2016,FireScar_CL-BI_ID183694_u562_20160306.tif,ImgPreF_CL-BI_ID183694_u562_20160306.tif,ImgPosF_CL-BI_ID183694_u562_20160306.tif,RdNBR_CL-BI_ID183694_u562_20160306.tif,Severity_CL-BI_ID183694_u562_20160306.tif,FireScar_CL-BI_ID183694_u562_20160306.shp,Severity_CL-BI_ID183694_u562_20160306.shp,562.0,-36.521636696578,-36.52702658828272,-72.119984944138,-72.11378656867757,23.0,20.0,138589.350769043,0.0,0.0,3609.08062744141,134980.270141602,1.0,6.0,,The ignition point is located in the current CL-NB region
ID183695,2016,CL-BI,BioBio,LARQUI,18.0,2015-12-24,2015-12-24,-36.6889,-72.2433,1,FireScar_CL-BI_BioBio_2016,FireScar_CL-BI_ID183695_u605_20151224.tif,ImgPreF_CL-BI_ID183695_u605_20151224.tif,ImgPosF_CL-BI_ID183695_u605_20151224.tif,RdNBR_CL-BI_ID183695_u605_20151224.tif,Severity_CL-BI_ID183695_u605_20151224.tif,FireScar_CL-BI_ID183695_u605_20151224.shp,Severity_CL-BI_ID183695_u605_20151224.shp,605.0,-36.68252496396379,-36.68899283400945,-72.2450304316875,-72.23883205622707,23.0,24.0,160635.598876953,0.0,0.0,10084.7617797852,150550.837097168,1.0,12.0,,The ignition point is located in the current CL-NB region
