REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
XV,ARICA,4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,60","2,63","3,23","3,23","0,00","0,00","0,00","3,23"
XV,CAMARONES,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,30","18,19","18,50","18,50","0,00","0,00","0,00","18,50"
XV,PUTRE,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,00","1,00","1,10","1,10","0,00","0,00","0,00","1,10"
XV,GENERAL LAGOS,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
I,IQUIQUE,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
I,ALTO HOSPICIO,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
I,POZO ALMONTE,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,05","0,05","0,05","0,00","0,00","0,00","0,05"
I,CAMIÑA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
I,COLCHANE,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
I,HUARA,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","5,92","0,58","6,53","6,53","0,00","0,20","0,20","6,73"
I,PICA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
II,ANTOFAGASTA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
II,MEJILLONES,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
II,SIERRA GORDA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
II,TALTAL,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
II,CALAMA,8,"0,00","0,00","0,00","0,00","0,00","12,00","12,00","0,03","14,39","27,71","42,13","54,13","0,00","0,00","0,00","54,13"
II,OLLAGUE,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
II,SAN PEDRO DE ATACAMA,3,"0,00","0,00","0,00","0,00","0,00","0,06","0,06","0,03","0,00","0,03","0,06","0,13","0,00","0,00","0,00","0,13"
II,TOCOPILLA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
II,MARIA ELENA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
III,COPIAPÓ,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,20","0,00","0,00","0,20","0,20","0,00","0,00","0,00","0,20"
III,CALDERA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
III,TIERRA AMARILLA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
III,CHAÑARAL,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
III,DIEGO DE ALMAGRO,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
III,VALLENAR,24,"0,00","0,00","0,00","0,00","10,31","0,02","10,33","9,87","16,32","3,06","29,25","39,57","0,01","0,00","0,01","39,58"
III,ALTO DEL CARMEN,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,51","1,51","1,51","0,00","0,00","0,00","1,51"
III,FREIRINA,5,"0,00","0,00","0,00","0,00","1,75","0,00","1,75","2,25","3,70","2,50","8,45","10,20","0,00","0,00","0,00","10,20"
III,HUASCO,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
IV,ANDACOLLO,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
IV,COQUIMBO,15,"0,00","0,00","0,00","0,00","0,10","0,00","0,10","0,06","16,32","11,76","28,15","28,25","0,00","0,00","0,00","28,25"
IV,LA HIGUERA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
IV,LA SERENA,15,"0,00","0,00","0,00","0,00","6,71","0,01","6,72","0,12","0,33","0,69","1,14","7,86","0,00","0,00","0,00","7,86"
IV,PAIHUANO,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
IV,VICUNA,5,"0,00","0,00","0,00","0,00","0,55","0,00","0,55","1,79","2,50","0,76","5,05","5,60","0,20","0,50","0,70","6,30"
IV,COMBARBALA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
IV,MONTE PATRIA,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,50","8,00","0,31","12,81","12,81","0,00","0,00","0,00","12,81"
IV,OVALLE,36,"0,00","0,00","0,00","0,00","8,47","0,00","8,47","16,44","99,53","33,64","149,61","158,08","0,00","0,00","0,00","158,08"
IV,PUNITAQUI,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,30","0,00","0,00","0,30","0,30","0,00","0,00","0,00","0,30"
IV,RIO HURTADO,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
IV,CANELA,4,"0,00","0,00","0,00","0,00","0,40","0,00","0,40","0,30","0,81","1,01","2,11","2,51","0,00","0,00","0,00","2,51"
IV,ILLAPEL,2,"0,00","0,00","0,00","0,00","1,00","0,00","1,00","1,50","0,50","0,50","2,50","3,50","0,00","0,00","0,00","3,50"
IV,LOS VILOS,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,00","0,00","0,00","0,01"
IV,MINCHA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
IV,SALAMANCA,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,50","3,70","2,10","10,30","10,30","0,00","0,00","0,00","10,30"
V,CABILDO,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
V,LA LIGUA,14,"0,00","0,00","0,00","0,00","0,06","0,00","0,06","107,02","181,60","12,64","301,26","301,32","0,00","0,00","0,00","301,32"
V,PAPUDO,7,"0,00","0,00","0,00","0,00","0,03","0,00","0,03","0,00","0,68","0,74","1,42","1,45","0,00","0,01","0,01","1,46"
V,PETORCA,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,62","0,65","0,65","0,30","0,00","0,30","0,95"
V,ZAPALLAR,7,"0,00","0,00","0,00","0,00","0,15","0,00","0,15","9,85","21,30","4,73","35,88","36,03","0,00","0,05","0,05","36,08"
V,CALLE LARGA,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","3,80","3,83","3,83","0,00","0,00","0,00","3,83"
V,LOS ANDES,6,"0,00","0,00","0,00","0,00","0,28","0,00","0,28","5,66","4,69","5,06","15,41","15,69","0,00","0,00","0,00","15,69"
V,RINCONADA,6,"0,00","0,00","0,00","0,00","0,02","0,00","0,02","0,00","0,85","0,81","1,65","1,67","0,00","0,00","0,00","1,67"
V,SAN ESTEBAN,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","6,50","12,11","15,48","34,09","34,09","0,00","0,00","0,00","34,09"
V,CATEMU,8,"0,44","0,00","0,00","0,44","3,21","0,00","3,65","0,00","7,12","2,94","10,06","13,71","0,00","0,30","0,30","14,01"
V,LLAILLAY,10,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,54","5,49","11,03","11,03","0,00","0,00","0,00","11,03"
V,PANQUEHUE,22,"0,00","0,00","0,00","0,00","3,13","0,10","3,23","47,12","11,93","5,55","64,60","67,83","0,00","0,01","0,01","67,84"
V,PUTAENDO ,4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,50","0,96","0,51","1,97","1,97","0,00","0,00","0,00","1,97"
V,SAN FELIPE,10,"0,00","0,00","0,00","0,00","18,00","0,00","18,00","0,00","12,39","9,17","21,56","39,56","0,02","0,01","0,03","39,59"
V,SANTA MARIA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
V,HIJUELAS,25,"4,00","0,00","0,00","4,00","4,59","0,33","8,92","0,15","24,56","4,04","28,74","37,66","0,00","0,01","0,01","37,67"
V,CALERA,18,"0,00","0,00","0,00","0,00","3,44","0,00","3,44","0,46","6,60","4,12","11,18","14,62","0,10","0,08","0,18","14,80"
V,LA CRUZ,18,"0,00","0,00","0,00","0,00","0,10","0,18","0,28","0,00","16,55","4,12","20,67","20,95","0,50","0,06","0,56","21,51"
V,NOGALES,28,"0,00","0,00","0,00","0,00","0,50","0,00","0,50","20,79","52,55","16,67","90,01","90,51","0,20","0,18","0,38","90,89"
V,QUILLOTA,50,"0,00","0,00","0,00","0,00","3,25","0,39","3,64","11,18","52,13","36,15","99,46","103,10","3,20","0,31","3,51","106,61"
V,CASABLANCA,16,"0,00","1.351,84","0,00","1.351,84","689,42","0,00","2.041,26","353,23","774,01","411,00","1.538,24","3.579,50","0,00","62,64","62,64","3.642,14"
V,CONCON,15,"0,00","1,00","0,00","1,00","2,50","0,00","3,50","0,10","6,07","4,64","10,81","14,31","0,00","0,58","0,58","14,89"
V,PUCHUNCAVI,4,"0,00","0,00","0,40","0,40","0,00","0,00","0,40","0,00","0,40","0,69","1,09","1,49","0,00","0,20","0,20","1,69"
V,QUINTERO,5,"1,00","0,00","0,00","1,00","2,00","0,00","3,00","0,00","2,20","1,40","3,60","6,60","0,00","0,00","0,00","6,60"
V,VALPARAISO,108,"2,17","253,97","195,68","451,82","531,73","0,20","983,74","146,62","196,11","174,10","516,83","1.500,57","0,00","7,96","7,96","1.508,53"
V,VINA DEL MAR,51,"0,00","0,00","0,43","0,43","3,23","0,00","3,66","0,45","7,28","7,54","15,27","18,93","0,00","0,05","0,05","18,98"
V,JUAN FERNANDEZ,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
V,ALGARROBO,9,"0,00","0,10","0,42","0,52","0,05","0,00","0,57","0,01","0,02","0,77","0,80","1,37","0,00","0,00","0,00","1,37"
V,CARTAGENA,8,"0,00","0,00","0,01","0,01","0,13","0,00","0,14","0,00","0,32","0,92","1,24","1,38","0,00","0,02","0,02","1,40"
V,EL QUISCO,8,"0,00","45,22","0,10","45,32","402,62","0,00","447,94","53,71","123,46","40,12","217,29","665,23","0,00","0,00","0,00","665,23"
V,EL TABO,7,"0,00","0,00","0,00","0,00","1,25","0,00","1,25","0,00","1,22","1,84","3,06","4,31","0,00","0,00","0,00","4,31"
V,SAN ANTONIO,36,"0,40","0,05","0,02","0,47","4,51","0,00","4,98","3,50","3,09","11,72","18,31","23,28","0,00","0,32","0,32","23,60"
V,SANTO DOMINGO,10,"0,00","0,00","0,00","0,00","0,30","0,00","0,30","0,06","1,63","2,83","4,52","4,82","0,00","0,00","0,00","4,82"
V,ISLA DE PASCUA,21,"0,00","0,00","0,00","0,00","0,30","0,00","0,30","5,50","38,10","314,00","357,60","357,90","0,00","0,00","0,00","357,90"
V,LIMACHE,35,"0,00","0,00","0,00","0,00","1,43","0,07","1,50","0,54","6,92","4,95","12,41","13,91","0,00","0,38","0,38","14,29"
V,OLMUE,7,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","6,49","11,88","6,08","24,45","24,45","0,00","0,00","0,00","24,45"
V,QUILPUE,34,"0,04","0,00","0,00","0,04","2,14","0,00","2,18","454,62","942,18","343,49","1.740,29","1.742,47","0,00","0,94","0,94","1.743,41"
V,VILLA ALEMANA,12,"0,00","0,00","0,00","0,00","0,15","0,00","0,15","0,00","0,72","2,12","2,84","2,99","0,00","0,06","0,06","3,04"
VI,RANCAGUA,4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,75","2,73","3,50","3,50","0,00","0,00","0,00","3,50"
VI,MACHALI,19,"0,00","0,00","0,00","0,00","0,23","0,00","0,23","39,00","127,68","39,09","205,77","205,99","0,00","0,00","0,00","205,99"
VI,GRANEROS,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,42","1,01","0,32","4,75","4,75","0,00","0,00","0,00","4,75"
VI,CODEGUA,8,"0,00","0,00","0,00","0,00","3,70","0,30","4,00","29,70","17,05","7,30","54,05","58,05","0,00","0,00","0,00","58,05"
VI,MOSTAZAL,4,"0,00","0,00","0,00","0,00","2,55","0,00","2,55","0,20","3,10","0,85","4,15","6,70","0,00","0,00","0,00","6,70"
VI,REQUINOA,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","2.015,00","94,21","142,80","2.252,01","2.252,01","0,00","0,02","0,02","2.252,03"
VI,OLIVAR,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
VI,RENGO,26,"0,00","0,00","0,00","0,00","9,51","0,00","9,51","5,99","31,71","17,22","54,92","64,42","0,05","4,55","4,60","69,02"
VI,QUINTA DE TILCOCO,4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,51","1,91","2,42","2,42","0,00","0,00","0,00","2,42"
VI,MALLOA,13,"0,00","0,00","0,00","0,00","1,06","0,00","1,06","1,25","6,37","2,15","9,77","10,83","0,00","0,30","0,30","11,13"
VI,SAN VICENTE TAGUA TAGUA,33,"0,00","0,00","0,00","0,00","4,41","0,00","4,41","7,61","19,31","10,99","37,90","42,31","0,50","3,90","4,40","46,71"
VI,DONIHUE,12,"0,00","0,00","0,00","0,00","0,09","0,00","0,09","2,78","7,78","10,65","21,21","21,30","0,00","4,00","4,00","25,30"
VI,COINCO,17,"0,00","0,00","0,00","0,00","3,30","1,70","5,00","2,45","12,56","6,55","21,56","26,56","0,05","0,70","0,75","27,31"
VI,COLTAUCO,23,"0,00","0,00","0,00","0,00","0,10","2,10","2,20","107,42","326,68","155,75","589,84","592,04","0,30","0,60","0,90","592,94"
VI,PICHIDEGUA,21,"0,00","0,00","0,00","0,00","1,11","0,00","1,11","11,65","9,61","4,36","25,62","26,73","0,00","10,50","10,50","37,23"
VI,PEUMO,2,"0,00","0,00","0,00","0,00","0,50","0,20","0,70","0,00","0,30","0,01","0,31","1,01","0,00","0,00","0,00","1,01"
VI,LAS CABRAS,19,"0,05","0,00","0,00","0,05","1,10","0,00","1,15","18,55","52,62","29,31","100,48","101,63","0,10","0,03","0,13","101,76"
VI,SAN FERNANDO,26,"0,00","0,00","0,00","0,00","16,09","0,60","16,69","0,70","14,97","8,49","24,16","40,85","0,20","0,00","0,20","41,05"
VI,CHIMBARONGO,11,"0,00","0,00","0,00","0,00","1,90","0,00","1,90","18,20","19,12","27,50","64,82","66,72","0,00","0,00","0,00","66,72"
VI,NANCAGUA,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,05","0,05","0,10","0,10","0,00","0,00","0,00","0,10"
VI,PLACILLA,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
VI,CHEPICA,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,06","0,55","0,31","0,92","0,92","0,00","30,30","30,30","31,22"
