SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Struthio camelus,Common Ostrich,ostric2,species,2.0,COOS,STCA,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio molybdophanes,Somali Ostrich,ostric3,species,7.0,SOOS,STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,8.0,SOOS COOS,STCA STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Rhea americana,Greater Rhea,grerhe1,species,10.0,GRRH,RHAM,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata,Lesser Rhea,lesrhe2,species,16.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,17.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,20.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,,rheida1
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,22.0,TBTI,NOJU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei,Highland Tinamou,higtin1,species,23.0,,NOBO,HITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,issf,24.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,issf,29.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,,tinami1
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,30.0,HOTI,NONI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus tao,Gray Tinamou,grytin1,species,33.0,GRTI,TITA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus solitarius,Solitary Tinamou,soltin1,species,38.0,SOTI,TISO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus osgoodi,Black Tinamou,blatin1,species,39.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus major,Great Tinamou,gretin1,species,42.0,,TIMA,GRTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus guttatus,White-throated Tinamou,whttin1,species,55.0,WTTI,TIGU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus sp.,Tinamus sp.,tinamu1,spuh,56.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,57.0,CITI,CRCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,58.0,BETI,CRBE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus soui,Little Tinamou,littin1,species,59.0,,CRSO,LITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,74.0,TETI,CRPT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus,Brown Tinamou,brotin1,species,75.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1,issf,76.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2,issf,77.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,brotin1,,,tinami1
Crypturellus undulatus,Undulated Tinamou,undtin1,species,86.0,UNTI,CRUN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,93.0,PBTI,CRTR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,94.0,BRTI,CRST,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,95.0,GLTI,CRDU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,96.0,RLTI,CRER,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,104.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,issf,105.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,,tinami1
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,issf,106.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,yeltin1,,,tinami1
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,107.0,BCTI,CRAT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,110.0,,CRBO,SBTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus kerriae,Choco Tinamou,chotin1,species,113.0,,CRKE,CHTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus variegatus,Variegated Tinamou,vartin1,species,114.0,VATI,CRVA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,115.0,ETTI,CRCI,THTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,issf,116.0,ETTI THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,,tinami1
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,issf,117.0,ETTI THTI,CRCI,,Tinamiformes,Tinamous,Tinamidae,thitin1,,,tinami1
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,126.0,RUTI,CRBR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,127.0,BATI,CRBA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,128.0,SBTI,CRPA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus casiquiare,Barred Tinamou,bartin1,species,129.0,BATI,CRCA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,130.0,TATI,CRTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus sp.,Crypturellus sp.,cryptu1,spuh,135.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,136.0,RWTI,RHRU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,140.0,HUTI,RHMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,141.0,TATI,NOTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta ornata,Ornate Tinamou,orntin1,species,142.0,ORTI,NOOR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,146.0,CHTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,149.0,BRTI,NOCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,152.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,161.0,CBTI,NOCU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta sp.,Nothoprocta sp.,nothop1,spuh,164.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura boraquira,White-bellied Nothura,whbnot1,species,165.0,WBNO,NOBO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura minor,Lesser Nothura,lesnot1,species,166.0,LENO,NOMI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura darwinii,Darwin's Nothura,darnot1,species,167.0,DANO,NODA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura maculosa,Spotted Nothura,sponot1,species,173.0,SPNO,NOMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Taoniscus nanus,Dwarf Tinamou,dwatin1,species,183.0,DWTI,TANA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,184.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,195.0,QCTI QUCT,EUFO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamotis pentlandii,Puna Tinamou,puntin1,species,198.0,PUTI,TIPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,199.0,PATI,TIIN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamidae sp.,tinamou sp.,tinamo1,spuh,200.0,,,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Casuarius casuarius,Southern Cassowary,soucas1,species,202.0,SOCA,CACA,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius bennetti,Dwarf Cassowary,dwacas1,species,203.0,DWCA,CABE,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius unappendiculatus,Northern Cassowary,norcas1,species,204.0,NOCA,CAUN,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Dromaius novaehollandiae,Emu,emu1,species,205.0,EMU COEM,DRNO,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Apteryx australis,Southern Brown Kiwi,sobkiw1,species,211.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,issf,212.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,,aptery1
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,issf,213.0,SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,sobkiw1,,,aptery1
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,214.0,OBKI OKKI,APRO,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,215.0,NIBK NBKI,APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx owenii,Little Spotted Kiwi,liskiw1,species,216.0,LSKI,APOW,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx haastii,Great Spotted Kiwi,grskiw1,species,217.0,GSKI,APHA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx sp.,kiwi sp.,kiwi1,spuh,218.0,,,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Anhima cornuta,Horned Screamer,horscr1,species,220.0,HOSC,ANCO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna torquata,Southern Screamer,souscr1,species,221.0,SOSC,CHTO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna chavaria,Northern Screamer,norscr1,species,222.0,NOSC,CHCH,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Anseranas semipalmata,Magpie Goose,maggoo1,species,224.0,MAGO,ANSE,,Anseriformes,Magpie Goose,Anseranatidae,,,,ansera1
Alectura lathami,Australian Brushturkey,ausbrt1,species,741.0,ABTU AUBT AUBR,ALLA,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Aepypodius arfakianus,Wattled Brushturkey,watbrt1,species,744.0,WABT WBTU WABR,AEAR,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Aepypodius bruijnii,Waigeo Brushturkey,brubrt1,species,747.0,WBTU WABT WABR,AEBR,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Talegalla cuvieri,Red-billed Brushturkey,rebbrt1,species,748.0,RBBT RBBR,TACU,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Talegalla fuscirostris,Yellow-legged Brushturkey,bkbbrt1,species,751.0,BBBT YLBR BBBR,TAFU,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Talegalla jobiensis,Red-legged Brushturkey,bncbrt1,species,756.0,COBT COBR RLBR CBTU,TAJO,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Talegalla sp.,Talegalla sp.,talega1,spuh,759.0,,,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Leipoa ocellata,Malleefowl,mallee1,species,760.0,MALL,LEOC,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Macrocephalon maleo,Maleo,maleo1,species,761.0,MALE,MAMA,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Eulipoa wallacei,Moluccan Megapode,molscr1,species,762.0,MOSC MOME,EUWA,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius pritchardii,Tongan Megapode,niuscr1,species,763.0,TOME TOSC NISC,MEPR,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius laperouse,Micronesian Megapode,micscr1,species,764.0,MISC MIME,MELA,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius nicobariensis,Nicobar Megapode,nicscr1,species,767.0,NISC NIME,MENI,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius cumingii,Philippine Megapode,tabscr1,species,770.0,PHME PHSC TASC,MECU,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius bernsteinii,Sula Megapode,sulscr1,species,778.0,SUSC SUME,MEBE,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius tenimberensis,Tanimbar Megapode,tanscr1,species,779.0,TASC TAME,METE,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius freycinet,Dusky Megapode,dusscr1,species,780.0,DUME DUSC,MEFR,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius freycinet [freycinet Group],Dusky Megapode (Dusky),dusscr2,issf,781.0,DUME DUSC,MEFR,,Galliformes,Megapodes,Megapodiidae,dusscr1,,,megapo1
Megapodius freycinet forsteni/buruensis,Dusky Megapode (Forsten's),forscr1,issf,785.0,DUME DUSC,MEFR,,Galliformes,Megapodes,Megapodiidae,dusscr1,,,megapo1
Megapodius geelvinkianus,Biak Megapode,dusscr3,species,788.0,BIME BISC,MEGE,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius eremita,Melanesian Megapode,melscr1,species,789.0,MEME MESC,MEER,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius layardi,Vanuatu Megapode,vanscr1,species,790.0,VASC VAME,MELA,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius decollatus,New Guinea Megapode,negscr1,species,791.0,NGME NGSC,MEDE,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Megapodius reinwardt,Orange-footed Megapode,orfscr1,species,792.0,OFME OFSC,MERE,,Galliformes,Megapodes,Megapodiidae,,,,megapo1
Numida meleagris,Helmeted Guineafowl,helgui,species,916.0,HEGU,NUME,HELG,Galliformes,Guineafowl,Numididae,,,,numidi1
Numida meleagris sabyi,Helmeted Guineafowl (Moroccan),helgui2,issf,917.0,HELG HEGU,NUME,,Galliformes,Guineafowl,Numididae,helgui,,,numidi1
Numida meleagris galeatus,Helmeted Guineafowl (West African),helgui4,issf,918.0,HELG HEGU,NUME,,Galliformes,Guineafowl,Numididae,helgui,,,numidi1
Numida meleagris meleagris/somaliensis,Helmeted Guineafowl (Helmeted),helgui3,issf,919.0,HELG HEGU,NUME,,Galliformes,Guineafowl,Numididae,helgui,,,numidi1
Numida meleagris reichenowi,Helmeted Guineafowl (Reichenow's),helgui5,issf,922.0,HELG HEGU,NUME,,Galliformes,Guineafowl,Numididae,helgui,,,numidi1
Numida meleagris [mitratus Group],Helmeted Guineafowl (Tufted),helgui6,issf,923.0,HELG HEGU,NUME,,Galliformes,Guineafowl,Numididae,helgui,,,numidi1
Numida meleagris (Domestic type),Helmeted Guineafowl (Domestic type),helgui1,domestic,928.0,HELG HEGU,NUME,,Galliformes,Guineafowl,Numididae,helgui,,,numidi1
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,species,929.0,WBGU,AGME,,Galliformes,Guineafowl,Numididae,,,,numidi1
Agelastes niger,Black Guineafowl,blagui1,species,930.0,BLGU,AGNI,,Galliformes,Guineafowl,Numididae,,,,numidi1
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,species,931.0,VUGU,ACVU,,Galliformes,Guineafowl,Numididae,,,,numidi1
Guttera plumifera,Plumed Guineafowl,plugui1,species,932.0,PLGU,GUPL,,Galliformes,Guineafowl,Numididae,,,,numidi1
Guttera pucherani,Eastern Crested Guineafowl,cregui3,species,935.0,ECGU CRGU,GUPU,,Galliformes,Guineafowl,Numididae,,,,numidi1
Guttera verreauxi,Western Crested Guineafowl,cregui2,species,936.0,WCGU CRGU,GUVE,,Galliformes,Guineafowl,Numididae,,,,numidi1
Guttera edouardi,Southern Crested Guineafowl,cregui4,species,939.0,SCGU CRGU,GUED,,Galliformes,Guineafowl,Numididae,,,,numidi1
Guttera pucherani/verreauxi/edouardi,crested guineafowl sp.,cregui1,spuh,942.0,SCGU WCGU CRGU ECGU,GUVE GUED GUPU,,Galliformes,Guineafowl,Numididae,,,,numidi1
Ptilopachus petrosus,Stone Partridge,stopar1,species,944.0,STPA,PTPE,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Ptilopachus petrosus petrosus,Stone Partridge (Stone),stopar2,issf,945.0,STPA,PTPE,,Galliformes,New World Quail,Odontophoridae,stopar1,,,odonto1
Ptilopachus petrosus major,Stone Partridge (Ethiopian),stopar3,issf,946.0,STPA,PTPE,,Galliformes,New World Quail,Odontophoridae,stopar1,,,odonto1
Ptilopachus nahani,Nahan's Partridge,nahfra2,species,947.0,NAPA NAFR,PTNA,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,species,948.0,,RHCI,TFQU,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Oreortyx pictus,Mountain Quail,mouqua,species,952.0,MOQU,ORPI,MOUQ,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Dendrortyx leucophrys,Buffy-crowned Wood-Partridge,bcwpar1,species,953.0,,DELE,BCWP,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Dendrortyx macroura,Long-tailed Wood-Partridge,ltwpar1,species,956.0,,DEMA,LTWP,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Dendrortyx barbatus,Bearded Wood-Partridge,bewpar1,species,963.0,BWPA,DEBA,BEWP,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Philortyx fasciatus,Banded Quail,banqua1,species,964.0,,PHFA,BAQU,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Colinus virginianus,Northern Bobwhite,norbob,species,965.0,,COVI,NOBO,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Colinus virginianus [virginianus Group],Northern Bobwhite (Eastern),norbob1,issf,966.0,NOBO,COVI,,Galliformes,New World Quail,Odontophoridae,norbob,,,odonto1
Colinus virginianus graysoni/nigripectus,Northern Bobwhite (graysoni/nigripectus),norbob2,issf,976.0,NOBO,COVI,,Galliformes,New World Quail,Odontophoridae,norbob,,,odonto1
Colinus virginianus [pectoralis Group],Northern Bobwhite (pectoralis Group),norbob3,issf,979.0,NOBO,COVI,,Galliformes,New World Quail,Odontophoridae,norbob,,,odonto1
Colinus virginianus [coyoleos Group],Northern Bobwhite (Masked),masbob1,issf,984.0,NOBO,COVI,,Galliformes,New World Quail,Odontophoridae,norbob,,,odonto1
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,species,991.0,YUBO,CONI,BTBO,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Colinus cristatus,Crested Bobwhite,crebob1,species,996.0,CBBO,COCR,CRBO,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Colinus cristatus [leucopogon Group],Crested Bobwhite (Spot-bellied),crebob2,issf,997.0,SBBO CBBO CRBO,COCR,,Galliformes,New World Quail,Odontophoridae,crebob1,,,odonto1
Colinus cristatus [cristatus Group],Crested Bobwhite (Crested),crebob3,issf,1004.0,CRBO CBBO,COCR,,Galliformes,New World Quail,Odontophoridae,crebob1,,,odonto1
Callipepla squamata,Scaled Quail,scaqua,species,1018.0,,CASQ,SCQU,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Colinus virginianus x Callipepla squamata,Northern Bobwhite x Scaled Quail (hybrid),x00688,hybrid,1023.0,NOBO SCQU,COVI CASQ,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Callipepla douglasii,Elegant Quail,elequa,species,1024.0,,CADO,ELQU,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Callipepla californica,California Quail,calqua,species,1031.0,,CACA,CAQU,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Colinus virginianus x Callipepla californica,Northern Bobwhite x California Quail (hybrid),x01011,hybrid,1040.0,CAQU NOBO,COVI CACA,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Callipepla squamata x californica,Scaled x California Quail (hybrid),x00687,hybrid,1041.0,CAQU SCQU,CASQ CACA,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Callipepla gambelii,Gambel's Quail,gamqua,species,1042.0,,CAGA,GAQU,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Callipepla squamata x gambelii,Scaled x Gambel's Quail (hybrid),x00689,hybrid,1048.0,SCQU GAQU,CAGA CASQ,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Callipepla californica x gambelii,California x Gambel's Quail (hybrid),y00315,hybrid,1049.0,CAQU GAQU,CAGA CACA,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Callipepla californica/gambelii,California/Gambel's Quail,y00711,slash,1050.0,CAQU GAQU,CAGA CACA,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Cyrtonyx montezumae,Montezuma Quail,monqua,species,1051.0,MBQU MOQU,CYMO,MONQ,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Cyrtonyx montezumae [montezumae Group],Montezuma Quail (Montezuma),monqua1,issf,1052.0,MONQ MBQU MOQU,CYMO,,Galliformes,New World Quail,Odontophoridae,monqua,,,odonto1
Cyrtonyx montezumae sallei/rowleyi,Montezuma Quail (Salle's),monqua2,issf,1056.0,MONQ MBQU MOQU,CYMO,,Galliformes,New World Quail,Odontophoridae,monqua,,,odonto1
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,species,1059.0,,CYOC,OCQU,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Dactylortyx thoracicus,Singing Quail,sinqua1,species,1060.0,,DATH,SIQU,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus gujanensis,Marbled Wood-Quail,mawqua1,species,1072.0,MWQU,ODGU,MAWQ,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus capueira,Spot-winged Wood-Quail,swwqua1,species,1081.0,SWWQ,ODCA,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus melanotis,Black-eared Wood-Quail,bewqua1,species,1084.0,,ODME,BEWQ,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus atrifrons,Black-fronted Wood-Quail,bfwqua1,species,1087.0,BFWQ,ODAT,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus erythrops,Rufous-fronted Wood-Quail,rfwqua1,species,1091.0,RFWQ,ODER,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus hyperythrus,Chestnut Wood-Quail,chwqua1,species,1094.0,CHWQ CWQU,ODHY,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus melanonotus,Dark-backed Wood-Quail,dbwqua1,species,1095.0,DBWQ,ODME,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus speciosus,Rufous-breasted Wood-Quail,rbwqua1,species,1096.0,RBWQ,ODSP,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus dialeucos,Tacarcuna Wood-Quail,tawqua1,species,1100.0,TWQU,ODDI,TAWQ,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus strophium,Gorgeted Wood-Quail,gowqua1,species,1101.0,GWQU GOWQ,ODST,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus columbianus,Venezuelan Wood-Quail,venwoq1,species,1102.0,VEWQ VWQU,ODCO,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus leucolaemus,Black-breasted Wood-Quail,bbwqua1,species,1103.0,,ODLE,BBWQ,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus balliviani,Stripe-faced Wood-Quail,sfwqua1,species,1104.0,SFWQ,ODBA,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus stellatus,Starred Wood-Quail,stwqua1,species,1105.0,STWQ SWQU,ODST,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus guttatus,Spotted Wood-Quail,spwqua1,species,1106.0,SWQU,ODGU,SPWQ,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophorus sp.,wood-quail sp.,woodqu1,spuh,1107.0,,,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Odontophoridae sp.,new world quail sp.,quail1,spuh,1108.0,,,,Galliformes,New World Quail,Odontophoridae,,,,odonto1
Phoenicopterus chilensis,Chilean Flamingo,chifla1,species,1768.0,CHFL,PHCH,,Phoenicopteriformes,Flamingos,Phoenicopteridae,,,,phoeni1
Phoenicopterus ruber,American Flamingo,grefla2,species,1769.0,,PHRU,AMFL,Phoenicopteriformes,Flamingos,Phoenicopteridae,,,,phoeni1
Phoenicopterus chilensis x ruber,Chilean x American Flamingo (hybrid),x01038,hybrid,1770.0,AMFL CHFL,PHCH PHRU,,Phoenicopteriformes,Flamingos,Phoenicopteridae,,,,phoeni1
Phoenicopterus roseus,Greater Flamingo,grefla3,species,1771.0,GRFL,PHRO,,Phoenicopteriformes,Flamingos,Phoenicopteridae,,,,phoeni1
Phoenicopterus chilensis x roseus,Chilean x Greater Flamingo (hybrid),x01039,hybrid,1772.0,CHFL GRFL,PHCH PHRO,,Phoenicopteriformes,Flamingos,Phoenicopteridae,,,,phoeni1
Phoenicopterus ruber/roseus,American/Greater Flamingo,grefla,slash,1773.0,GRFL AMFL,PHRO PHRU,,Phoenicopteriformes,Flamingos,Phoenicopteridae,,,,phoeni1
Phoeniconaias minor,Lesser Flamingo,lesfla1,species,1774.0,LEFL,PHMI,,Phoenicopteriformes,Flamingos,Phoenicopteridae,,,,phoeni1
Phoenicopterus roseus/Phoeniconaias minor,Greater/Lesser Flamingo,y00369,slash,1775.0,GRFL LEFL,PHRO PHMI,,Phoenicopteriformes,Flamingos,Phoenicopteridae,,,,phoeni1
