MES,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII,TOTAL
JULIO,,,,,,1,2,,,,,,3
AGOSTO,,,3,,1,3,2,,,,,,9
SEPTIEMBRE,,,7,9,,11,21,2,1,8,,,59
OCTUBRE,,,69,11,3,15,127,18,2,5,3,,253
NOVIEMBRE,,4,149,68,25,46,243,42,4,22,3,,606
DICIEMBRE,,13,129,56,34,140,675,177,22,89,9,,1.344
ENERO,,24,159,75,54,188,628,270,35,39,2,1,1.475
FEBRERO,,20,109,55,29,143,547,231,28,30,4,4,1.200
MARZO,,6,118,49,22,94,511,209,25,29,5,,1.068
ABRIL,,7,74,13,23,43,102,19,,,1,,282
MAYO,,,19,4,4,,,,,,,,27
JUNIO,,1,7,1,,,,,,,,,9
