REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
RM,EL MONTE,18,"0,00","0,00","0,00","0,00","0,40","0,00","0,40","0,70","2,29","7,36","10,34","10,74","0,00","0,32","0,32","11,06"
RM,ISLA DE MAIPO,6,"0,00","0,00","0,00","0,00","0,15","0,80","0,95","0,00","2,08","2,23","4,31","5,26","0,00","0,00","0,00","5,26"
RM,PADRE HURTADO,10,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,43","7,84","15,93","27,20","27,20","0,00","0,30","0,30","27,50"
RM,MELIPILLA,61,"0,00","0,00","0,00","0,00","2,40","0,00","2,40","7,84","22,78","33,14","63,77","66,17","1,50","2,20","3,70","69,87"
RM,MARIA PINTO,19,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,51","1,39","3,23","5,12","5,12","0,00","0,20","0,20","5,32"
RM,SAN PEDRO,17,"0,00","20,00","0,00","20,00","30,50","0,00","50,50","5,90","31,25","19,98","57,13","107,63","0,00","0,00","0,00","107,63"
RM,CURACAVI,21,"0,00","0,00","0,00","0,00","0,02","0,00","0,02","0,06","1,09","2,22","3,37","3,39","0,01","0,71","0,72","4,11"
RM,ALHUE,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,40","0,52","1,32","1,32","0,00","0,00","0,00","1,32"
RM,SANTIAGO,,,,,,,,,,,,,,,,,
RM,INDEPENDENCIA,,,,,,,,,,,,,,,,,
RM,RECOLETA,,,,,,,,,,,,,,,,,
RM,ESTACION CENTRAL,,,,,,,,,,,,,,,,,
RM,CONCHALI,,,,,,,,,,,,,,,,,
RM,HUECHURABA,,,,,,,,,,,,,,,,,
RM,QUILICURA,2,"0,00","0,00","0,00","0,00","0,00","0,10","0,10","0,00","0,00","0,80","0,80","0,90","0,00","0,00","0,00","0,90"
RM,RENCA,3,"0,00","0,00","0,00","0,00","0,95","0,00","0,95","0,00","1,15","4,10","5,25","6,20","0,00","0,00","0,00","6,20"
RM,QUINTA NORMAL,,,,,,,,,,,,,,,,,
RM,PUDAHUEL,4,"0,00","0,00","0,00","0,00","0,06","0,70","0,76","0,07","0,35","1,16","1,58","2,33","0,00","0,00","0,00","2,33"
RM,CERRO NAVIA,,,,,,,,,,,,,,,,,
RM,LO PRADO,,,,,,,,,,,,,,,,,
RM,MAIPU,4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","2,01","2,41","2,41","0,00","0,00","0,00","2,41"
RM,PEDRO AGUIRRE CERDA,,,,,,,,,,,,,,,,,
RM,CERRILLOS,,,,,,,,,,,,,,,,,
RM,LO ESPEJO,,,,,,,,,,,,,,,,,
RM,LA PINTANA,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,50","1,51","1,51","0,00","0,00","0,00","1,51"
RM,EL BOSQUE,,,,,,,,,,,,,,,,,
RM,LA FLORIDA,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","0,35","0,50","0,50","0,00","0,00","0,00","0,50"
RM,LA GRANJA,,,,,,,,,,,,,,,,,
RM,MACUL,,,,,,,,,,,,,,,,,
RM,PENALOLEN,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,05","0,10","0,15","0,15","0,00","0,00","0,00","0,15"
RM,LA REINA,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,02","0,02","0,00","0,00","0,00","0,02"
RM,PROVIDENCIA,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,00","0,11","0,21","0,21","0,00","0,00","0,00","0,21"
RM,ÑUÑOA,,,,,,,,,,,,,,,,,
RM,LAS CONDES,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,20","0,80","1,50","2,50","2,50","0,00","0,00","0,00","2,50"
RM,VITACURA,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,01","11,50","22,09","37,60","37,60","0,00","0,00","0,00","37,60"
RM,LO BARNECHEA,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,02","0,02","0,00","0,00","0,00","0,02"
RM,SAN MIGUEL,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,00","3,00","3,00","0,00","0,00","0,00","3,00"
RM,LA CISTERNA,,,,,,,,,,,,,,,,,
RM,SAN JOAQUIN,,,,,,,,,,,,,,,,,
RM,SAN RAMON,,,,,,,,,,,,,,,,,
