REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
III,COPIAPO,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
III,CALDERA,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
III,TIERRA AMARILLA,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
III,ALTO DEL CARMEN,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
III,FREIRINA,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
III,HUASCO,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
III,VALLENAR,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
IV,ANDACOLLO,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
IV,COQUIMBO,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,59","0,20","0,79","0,79","0,00","0,00","0,00","0,79"
IV,LA HIGUERA,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
IV,LA SERENA,15,"0,00","0,00","0,00","0,00","0,31","0,71","1,02","0,59","1,00","0,28","1,87","2,89","0,00","0,11","0,11","3,00"
IV,PAIHUANO,2,"0,00","0,00","0,00","0,00","0,10","2,50","2,60","1,50","3,50","0,40","5,40","8,00","0,00","0,00","0,00","8,00"
IV,VICUNA,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
IV,COMBARBALA,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
IV,MONTE PATRIA,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
IV,OVALLE,25,"0,00","0,00","0,00","0,00","10,71","0,02","10,73","10,51","10,64","5,73","26,88","37,61","0,00","0,00","0,00","37,61"
IV,PUNITAQUI,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
IV,RIO HURTADO,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","12,00","6,00","1,00","19,00","19,00","0,00","0,00","0,00","19,00"
IV,CANELA,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
IV,ILLAPEL,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00","0,00"
IV,LOS VILOS,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","10,00","0,00","10,00","10,00","0,00","0,00","0,00","10,00"
IV,MINCHA,,,,,"0,00",,,"0,00",,,,"0,00","0,00",,,"0,00",
