SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,FAMILY_CODE
Struthio camelus,Common Ostrich,ostric2,species,2.0,Struthioniformes,Ostriches,Struthionidae,struth1
Struthio molybdophanes,Somali Ostrich,ostric3,species,7.0,Struthioniformes,Ostriches,Struthionidae,struth1
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,8.0,Struthioniformes,Ostriches,Struthionidae,struth1
Rhea americana,Greater Rhea,grerhe1,species,10.0,Rheiformes,Rheas,Rheidae,rheida1
Rhea pennata,Lesser Rhea,lesrhe2,species,16.0,Rheiformes,Rheas,Rheidae,rheida1
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,17.0,Rheiformes,Rheas,Rheidae,rheida1
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,20.0,Rheiformes,Rheas,Rheidae,rheida1
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,22.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothocercus bonapartei,Highland Tinamou,higtin1,species,23.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,issf,24.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,issf,29.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,30.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus tao,Gray Tinamou,grytin1,species,33.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus solitarius,Solitary Tinamou,soltin1,species,38.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus osgoodi,Black Tinamou,blatin1,species,39.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus major,Great Tinamou,gretin1,species,42.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus guttatus,White-throated Tinamou,whttin1,species,55.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamus sp.,Tinamus sp.,tinamu1,spuh,56.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,57.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,58.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus soui,Little Tinamou,littin1,species,59.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,74.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus obsoletus,Brown Tinamou,brotin1,species,75.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1,issf,76.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2,issf,77.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus undulatus,Undulated Tinamou,undtin1,species,86.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,93.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,94.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,95.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,96.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,104.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,issf,105.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,issf,106.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,107.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,110.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus kerriae,Choco Tinamou,chotin1,species,113.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus variegatus,Variegated Tinamou,vartin1,species,114.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,115.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,issf,116.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,issf,117.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,126.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,127.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,128.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus casiquiare,Barred Tinamou,bartin1,species,129.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,130.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Crypturellus sp.,Crypturellus sp.,cryptu1,spuh,135.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,136.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,140.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,141.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta ornata,Ornate Tinamou,orntin1,species,142.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,146.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,149.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,152.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,161.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothoprocta sp.,Nothoprocta sp.,nothop1,spuh,164.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothura boraquira,White-bellied Nothura,whbnot1,species,165.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothura minor,Lesser Nothura,lesnot1,species,166.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothura darwinii,Darwin's Nothura,darnot1,species,167.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothura maculosa,Spotted Nothura,sponot1,species,173.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothura boraquira/maculosa,White-bellied/Spotted Nothura,y01225,slash,183.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Nothura minor/maculosa,Lesser/Spotted Nothura,y01226,slash,184.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Taoniscus nanus,Dwarf Tinamou,dwatin1,species,185.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,186.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,197.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamotis pentlandii,Puna Tinamou,puntin1,species,200.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,201.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Tinamidae sp.,tinamou sp.,tinamo1,spuh,202.0,Tinamiformes,Tinamous,Tinamidae,tinami1
Casuarius casuarius,Southern Cassowary,soucas1,species,204.0,Casuariiformes,Cassowaries and Emu,Casuariidae,casuar1
Casuarius bennetti,Dwarf Cassowary,dwacas1,species,205.0,Casuariiformes,Cassowaries and Emu,Casuariidae,casuar1
Casuarius unappendiculatus,Northern Cassowary,norcas1,species,206.0,Casuariiformes,Cassowaries and Emu,Casuariidae,casuar1
Dromaius novaehollandiae,Emu,emu1,species,207.0,Casuariiformes,Cassowaries and Emu,Casuariidae,casuar1
Apteryx australis,Southern Brown Kiwi,sobkiw1,species,213.0,Apterygiformes,Kiwis,Apterygidae,aptery1
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,issf,214.0,Apterygiformes,Kiwis,Apterygidae,aptery1
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,issf,215.0,Apterygiformes,Kiwis,Apterygidae,aptery1
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,216.0,Apterygiformes,Kiwis,Apterygidae,aptery1
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,217.0,Apterygiformes,Kiwis,Apterygidae,aptery1
Apteryx owenii,Little Spotted Kiwi,liskiw1,species,218.0,Apterygiformes,Kiwis,Apterygidae,aptery1
Apteryx rowi x owenii,Okarito Brown x Little Spotted Kiwi (hybrid),x01059,hybrid,219.0,Apterygiformes,Kiwis,Apterygidae,aptery1
Apteryx haastii,Great Spotted Kiwi,grskiw1,species,220.0,Apterygiformes,Kiwis,Apterygidae,aptery1
Apteryx sp.,kiwi sp.,kiwi1,spuh,221.0,Apterygiformes,Kiwis,Apterygidae,aptery1
Anhima cornuta,Horned Screamer,horscr1,species,223.0,Anseriformes,Screamers,Anhimidae,anhimi1
Chauna torquata,Southern Screamer,souscr1,species,224.0,Anseriformes,Screamers,Anhimidae,anhimi1
Chauna chavaria,Northern Screamer,norscr1,species,225.0,Anseriformes,Screamers,Anhimidae,anhimi1
Anseranas semipalmata,Magpie Goose,maggoo1,species,227.0,Anseriformes,Magpie Goose,Anseranatidae,ansera1
Alectura lathami,Australian Brushturkey,ausbrt1,species,753.0,Galliformes,Megapodes,Megapodiidae,megapo1
Aepypodius arfakianus,Wattled Brushturkey,watbrt1,species,756.0,Galliformes,Megapodes,Megapodiidae,megapo1
Aepypodius bruijnii,Waigeo Brushturkey,brubrt1,species,759.0,Galliformes,Megapodes,Megapodiidae,megapo1
Talegalla cuvieri,Red-billed Brushturkey,rebbrt1,species,760.0,Galliformes,Megapodes,Megapodiidae,megapo1
Talegalla fuscirostris,Yellow-legged Brushturkey,bkbbrt1,species,763.0,Galliformes,Megapodes,Megapodiidae,megapo1
Talegalla jobiensis,Red-legged Brushturkey,bncbrt1,species,768.0,Galliformes,Megapodes,Megapodiidae,megapo1
Talegalla sp.,Talegalla sp.,talega1,spuh,771.0,Galliformes,Megapodes,Megapodiidae,megapo1
Leipoa ocellata,Malleefowl,mallee1,species,772.0,Galliformes,Megapodes,Megapodiidae,megapo1
Macrocephalon maleo,Maleo,maleo1,species,773.0,Galliformes,Megapodes,Megapodiidae,megapo1
Eulipoa wallacei,Moluccan Megapode,molscr1,species,774.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius pritchardii,Tongan Megapode,niuscr1,species,775.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius laperouse,Micronesian Megapode,micscr1,species,776.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius nicobariensis,Nicobar Megapode,nicscr1,species,779.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius cumingii,Philippine Megapode,tabscr1,species,782.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius bernsteinii,Sula Megapode,sulscr1,species,790.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius tenimberensis,Tanimbar Megapode,tanscr1,species,791.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius freycinet,Dusky Megapode,dusscr1,species,792.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius freycinet [freycinet Group],Dusky Megapode (Dusky),dusscr2,issf,793.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius freycinet forsteni/buruensis,Dusky Megapode (Forsten's),forscr1,issf,797.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius geelvinkianus,Biak Megapode,dusscr3,species,800.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius eremita,Melanesian Megapode,melscr1,species,801.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius layardi,Vanuatu Megapode,vanscr1,species,802.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius decollatus,New Guinea Megapode,negscr1,species,803.0,Galliformes,Megapodes,Megapodiidae,megapo1
Megapodius reinwardt,Orange-footed Megapode,orfscr1,species,804.0,Galliformes,Megapodes,Megapodiidae,megapo1
Numida meleagris,Helmeted Guineafowl,helgui,species,930.0,Galliformes,Guineafowl,Numididae,numidi1
Numida meleagris sabyi,Helmeted Guineafowl (Moroccan),helgui2,issf,931.0,Galliformes,Guineafowl,Numididae,numidi1
Numida meleagris galeatus,Helmeted Guineafowl (West African),helgui4,issf,932.0,Galliformes,Guineafowl,Numididae,numidi1
Numida meleagris meleagris/somaliensis,Helmeted Guineafowl (Helmeted),helgui3,issf,933.0,Galliformes,Guineafowl,Numididae,numidi1
Numida meleagris reichenowi,Helmeted Guineafowl (Reichenow's),helgui5,issf,936.0,Galliformes,Guineafowl,Numididae,numidi1
Numida meleagris [mitratus Group],Helmeted Guineafowl (Tufted),helgui6,issf,937.0,Galliformes,Guineafowl,Numididae,numidi1
Numida meleagris (Domestic type),Helmeted Guineafowl (Domestic type),helgui1,domestic,942.0,Galliformes,Guineafowl,Numididae,numidi1
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,species,943.0,Galliformes,Guineafowl,Numididae,numidi1
Agelastes niger,Black Guineafowl,blagui1,species,944.0,Galliformes,Guineafowl,Numididae,numidi1
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,species,945.0,Galliformes,Guineafowl,Numididae,numidi1
Guttera plumifera,Plumed Guineafowl,plugui1,species,946.0,Galliformes,Guineafowl,Numididae,numidi1
Guttera pucherani,Eastern Crested Guineafowl,cregui3,species,949.0,Galliformes,Guineafowl,Numididae,numidi1
Guttera verreauxi,Western Crested Guineafowl,cregui2,species,950.0,Galliformes,Guineafowl,Numididae,numidi1
Guttera edouardi,Southern Crested Guineafowl,cregui4,species,953.0,Galliformes,Guineafowl,Numididae,numidi1
Guttera pucherani/verreauxi/edouardi,crested guineafowl sp.,cregui1,spuh,956.0,Galliformes,Guineafowl,Numididae,numidi1
Ptilopachus petrosus,Stone Partridge,stopar1,species,958.0,Galliformes,New World Quail,Odontophoridae,odonto1
Ptilopachus petrosus petrosus,Stone Partridge (Stone),stopar2,issf,959.0,Galliformes,New World Quail,Odontophoridae,odonto1
Ptilopachus petrosus major,Stone Partridge (Ethiopian),stopar3,issf,960.0,Galliformes,New World Quail,Odontophoridae,odonto1
Ptilopachus nahani,Nahan's Partridge,nahfra2,species,961.0,Galliformes,New World Quail,Odontophoridae,odonto1
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,species,962.0,Galliformes,New World Quail,Odontophoridae,odonto1
Oreortyx pictus,Mountain Quail,mouqua,species,966.0,Galliformes,New World Quail,Odontophoridae,odonto1
Dendrortyx leucophrys,Buffy-crowned Wood-Partridge,bcwpar1,species,967.0,Galliformes,New World Quail,Odontophoridae,odonto1
Dendrortyx macroura,Long-tailed Wood-Partridge,ltwpar1,species,970.0,Galliformes,New World Quail,Odontophoridae,odonto1
Dendrortyx barbatus,Bearded Wood-Partridge,bewpar1,species,977.0,Galliformes,New World Quail,Odontophoridae,odonto1
Philortyx fasciatus,Banded Quail,banqua1,species,978.0,Galliformes,New World Quail,Odontophoridae,odonto1
Colinus virginianus,Northern Bobwhite,norbob,species,979.0,Galliformes,New World Quail,Odontophoridae,odonto1
Colinus virginianus [virginianus Group],Northern Bobwhite (Eastern),norbob1,issf,980.0,Galliformes,New World Quail,Odontophoridae,odonto1
Colinus virginianus graysoni/nigripectus,Northern Bobwhite (graysoni/nigripectus),norbob2,issf,990.0,Galliformes,New World Quail,Odontophoridae,odonto1
Colinus virginianus [pectoralis Group],Northern Bobwhite (pectoralis Group),norbob3,issf,993.0,Galliformes,New World Quail,Odontophoridae,odonto1
Colinus virginianus [coyoleos Group],Northern Bobwhite (Masked),masbob1,issf,998.0,Galliformes,New World Quail,Odontophoridae,odonto1
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,species,1005.0,Galliformes,New World Quail,Odontophoridae,odonto1
Colinus cristatus,Crested Bobwhite,crebob1,species,1010.0,Galliformes,New World Quail,Odontophoridae,odonto1
Colinus cristatus [leucopogon Group],Crested Bobwhite (Spot-bellied),crebob2,issf,1011.0,Galliformes,New World Quail,Odontophoridae,odonto1
Colinus cristatus [cristatus Group],Crested Bobwhite (Crested),crebob3,issf,1018.0,Galliformes,New World Quail,Odontophoridae,odonto1
Callipepla squamata,Scaled Quail,scaqua,species,1032.0,Galliformes,New World Quail,Odontophoridae,odonto1
Colinus virginianus x Callipepla squamata,Northern Bobwhite x Scaled Quail (hybrid),x00688,hybrid,1037.0,Galliformes,New World Quail,Odontophoridae,odonto1
Callipepla douglasii,Elegant Quail,elequa,species,1038.0,Galliformes,New World Quail,Odontophoridae,odonto1
Callipepla californica,California Quail,calqua,species,1045.0,Galliformes,New World Quail,Odontophoridae,odonto1
Colinus virginianus x Callipepla californica,Northern Bobwhite x California Quail (hybrid),x01011,hybrid,1054.0,Galliformes,New World Quail,Odontophoridae,odonto1
Callipepla squamata x californica,Scaled x California Quail (hybrid),x00687,hybrid,1055.0,Galliformes,New World Quail,Odontophoridae,odonto1
Callipepla gambelii,Gambel's Quail,gamqua,species,1056.0,Galliformes,New World Quail,Odontophoridae,odonto1
Callipepla squamata x gambelii,Scaled x Gambel's Quail (hybrid),x00689,hybrid,1062.0,Galliformes,New World Quail,Odontophoridae,odonto1
Callipepla californica x gambelii,California x Gambel's Quail (hybrid),y00315,hybrid,1063.0,Galliformes,New World Quail,Odontophoridae,odonto1
Callipepla californica/gambelii,California/Gambel's Quail,y00711,slash,1064.0,Galliformes,New World Quail,Odontophoridae,odonto1
Cyrtonyx montezumae,Montezuma Quail,monqua,species,1065.0,Galliformes,New World Quail,Odontophoridae,odonto1
Cyrtonyx montezumae [montezumae Group],Montezuma Quail (Montezuma),monqua1,issf,1066.0,Galliformes,New World Quail,Odontophoridae,odonto1
Cyrtonyx montezumae sallei/rowleyi,Montezuma Quail (Salle's),monqua2,issf,1070.0,Galliformes,New World Quail,Odontophoridae,odonto1
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,species,1073.0,Galliformes,New World Quail,Odontophoridae,odonto1
Dactylortyx thoracicus,Singing Quail,sinqua1,species,1074.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus gujanensis,Marbled Wood-Quail,mawqua1,species,1086.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus capueira,Spot-winged Wood-Quail,swwqua1,species,1095.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus melanotis,Black-eared Wood-Quail,bewqua1,species,1098.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus atrifrons,Black-fronted Wood-Quail,bfwqua1,species,1101.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus erythrops,Rufous-fronted Wood-Quail,rfwqua1,species,1105.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus hyperythrus,Chestnut Wood-Quail,chwqua1,species,1108.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus melanonotus,Dark-backed Wood-Quail,dbwqua1,species,1109.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus speciosus,Rufous-breasted Wood-Quail,rbwqua1,species,1110.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus dialeucos,Tacarcuna Wood-Quail,tawqua1,species,1114.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus strophium,Gorgeted Wood-Quail,gowqua1,species,1115.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus columbianus,Venezuelan Wood-Quail,venwoq1,species,1116.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus leucolaemus,Black-breasted Wood-Quail,bbwqua1,species,1117.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus [undescribed form],Pasco Wood-Quail (undescribed form),paswoq1,form,1118.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus balliviani,Stripe-faced Wood-Quail,sfwqua1,species,1119.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus stellatus,Starred Wood-Quail,stwqua1,species,1120.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus guttatus,Spotted Wood-Quail,spwqua1,species,1121.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophorus sp.,wood-quail sp.,woodqu1,spuh,1122.0,Galliformes,New World Quail,Odontophoridae,odonto1
Odontophoridae sp.,new world quail sp.,quail1,spuh,1123.0,Galliformes,New World Quail,Odontophoridae,odonto1
Phoenicopterus chilensis,Chilean Flamingo,chifla1,species,1786.0,Phoenicopteriformes,Flamingos,Phoenicopteridae,phoeni1
Phoenicopterus ruber,American Flamingo,grefla2,species,1787.0,Phoenicopteriformes,Flamingos,Phoenicopteridae,phoeni1
Phoenicopterus chilensis x ruber,Chilean x American Flamingo (hybrid),x01038,hybrid,1788.0,Phoenicopteriformes,Flamingos,Phoenicopteridae,phoeni1
Phoenicopterus roseus,Greater Flamingo,grefla3,species,1789.0,Phoenicopteriformes,Flamingos,Phoenicopteridae,phoeni1
Phoenicopterus chilensis x roseus,Chilean x Greater Flamingo (hybrid),x01039,hybrid,1790.0,Phoenicopteriformes,Flamingos,Phoenicopteridae,phoeni1
Phoenicopterus ruber/roseus,American/Greater Flamingo,grefla,slash,1791.0,Phoenicopteriformes,Flamingos,Phoenicopteridae,phoeni1
Phoeniconaias minor,Lesser Flamingo,lesfla1,species,1792.0,Phoenicopteriformes,Flamingos,Phoenicopteridae,phoeni1
Phoenicopterus roseus/Phoeniconaias minor,Greater/Lesser Flamingo,y00369,slash,1793.0,Phoenicopteriformes,Flamingos,Phoenicopteridae,phoeni1
Phoenicoparrus andinus,Andean Flamingo,andfla2,species,1794.0,Phoenicopteriformes,Flamingos,Phoenicopteridae,phoeni1
Phoenicoparrus jamesi,James's Flamingo,jamfla1,species,1795.0,Phoenicopteriformes,Flamingos,Phoenicopteridae,phoeni1
Phoenicopteridae sp.,flamingo sp.,flamin1,spuh,1796.0,Phoenicopteriformes,Flamingos,Phoenicopteridae,phoeni1
Rollandia rolland,White-tufted Grebe,whtgre3,species,1798.0,Podicipediformes,Grebes,Podicipedidae,podici1
Rollandia microptera,Titicaca Grebe,titgre1,species,1802.0,Podicipediformes,Grebes,Podicipedidae,podici1
Tachybaptus ruficollis,Little Grebe,litgre1,species,1804.0,Podicipediformes,Grebes,Podicipedidae,podici1
Tachybaptus ruficollis [ruficollis Group],Little Grebe (Little),litgre3,issf,1805.0,Podicipediformes,Grebes,Podicipedidae,podici1
Tachybaptus ruficollis [tricolor Group],Little Grebe (Tricolored),litgre4,issf,1813.0,Podicipediformes,Grebes,Podicipedidae,podici1
Tachybaptus novaehollandiae,Australasian Grebe,ausgre1,species,1817.0,Podicipediformes,Grebes,Podicipedidae,podici1
Tachybaptus pelzelnii,Madagascar Grebe,madgre1,species,1824.0,Podicipediformes,Grebes,Podicipedidae,podici1
Tachybaptus dominicus,Least Grebe,leagre,species,1825.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podilymbus podiceps,Pied-billed Grebe,pibgre,species,1831.0,Podicipediformes,Grebes,Podicipedidae,podici1
Poliocephalus poliocephalus,Hoary-headed Grebe,hohgre1,species,1836.0,Podicipediformes,Grebes,Podicipedidae,podici1
Tachybaptus novaehollandiae/Poliocephalus poliocephalus,Australasian/Hoary-headed Grebe,y01019,slash,1837.0,Podicipediformes,Grebes,Podicipedidae,podici1
Poliocephalus rufopectus,New Zealand Grebe,nezgre1,species,1838.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps major,Great Grebe,gregre1,species,1839.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps auritus,Horned Grebe,horgre,species,1842.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps grisegena,Red-necked Grebe,rengre,species,1845.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps cristatus,Great Crested Grebe,grcgre1,species,1848.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps nigricollis,Eared Grebe,eargre,species,1852.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps auritus/nigricollis,Horned/Eared Grebe,y00229,slash,1856.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps occipitalis,Silvery Grebe,silgre1,species,1858.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps occipitalis juninensis,Silvery Grebe (Andean),silgre3,issf,1859.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps occipitalis occipitalis,Silvery Grebe (Patagonian),silgre2,issf,1860.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps taczanowskii,Junin Grebe,jungre1,species,1861.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps gallardoi,Hooded Grebe,hoogre1,species,1862.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podiceps sp.,Podiceps sp.,podice1,spuh,1863.0,Podicipediformes,Grebes,Podicipedidae,podici1
Aechmophorus occidentalis,Western Grebe,wesgre,species,1864.0,Podicipediformes,Grebes,Podicipedidae,podici1
Aechmophorus clarkii,Clark's Grebe,clagre,species,1867.0,Podicipediformes,Grebes,Podicipedidae,podici1
Aechmophorus occidentalis x clarkii,Western x Clark's Grebe (hybrid),x00427,hybrid,1870.0,Podicipediformes,Grebes,Podicipedidae,podici1
Aechmophorus occidentalis/clarkii,Western/Clark's Grebe,y00012,slash,1871.0,Podicipediformes,Grebes,Podicipedidae,podici1
Podicipedidae sp.,grebe sp.,grebe1,spuh,1872.0,Podicipediformes,Grebes,Podicipedidae,podici1
Columba livia,Rock Pigeon,rocpig,species,1874.0,Columbiformes,Pigeons and Doves,Columbidae,columb2
Columba livia (Wild type),Rock Pigeon (Wild type),rocpig2,form,1875.0,Columbiformes,Pigeons and Doves,Columbidae,columb2
Columba livia (Feral Pigeon),Rock Pigeon (Feral Pigeon),rocpig1,domestic,1889.0,Columbiformes,Pigeons and Doves,Columbidae,columb2
Columba rupestris,Hill Pigeon,hilpig1,species,1890.0,Columbiformes,Pigeons and Doves,Columbidae,columb2
Columba livia/rupestris,Rock/Hill Pigeon,y01112,slash,1893.0,Columbiformes,Pigeons and Doves,Columbidae,columb2
Columba leuconota,Snow Pigeon,snopig1,species,1894.0,Columbiformes,Pigeons and Doves,Columbidae,columb2
Columba guinea,Speckled Pigeon,spepig1,species,1897.0,Columbiformes,Pigeons and Doves,Columbidae,columb2
Columba albitorques,White-collared Pigeon,whcpig1,species,1900.0,Columbiformes,Pigeons and Doves,Columbidae,columb2
Columba oenas,Stock Dove,stodov1,species,1901.0,Columbiformes,Pigeons and Doves,Columbidae,columb2
Columba eversmanni,Yellow-eyed Pigeon,pabpig1,species,1904.0,Columbiformes,Pigeons and Doves,Columbidae,columb2
