REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL.1,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
XIV,RÍOBUENO,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.75,16.75,21.4,21.40,0.20,110.90,111.10,132.50
XIV,LAGORANCO,3.0,0.0,0.0,0.0,0.0,3.6,0.0,3.6,23.5,9.0,0.0,32.5,36.10,0.00,0.00,0.00,36.10
X,OSORNO,9.0,0.0,2.2,1.5,3.7,0.1,0.0,3.8,0.0,5.85,25.05,30.9,34.70,10.15,25.00,35.15,69.85
X,SANPABLO,9.0,1.4,0.0,2.51,3.91,8.5,0.0,12.41,0.3,9.2,5.9,15.4,27.81,0.00,21.50,21.50,49.31
X,PEYUHUE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,2.2,2.20,0.00,0.00,0.00,2.20
X,PUERTOOCTAY,3.0,0.0,0.0,0.0,0.0,17.28,0.0,17.28,13.99,3.7,0.02,17.71,34.99,0.00,13.03,13.03,48.02
X,ENTRELAGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X,RIONEGRO,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.25,0.0,0.0,1.25,1.45,0.00,13.25,13.25,14.70
X,PURRANQUE,2.0,0.0,0.0,0.0,0.0,23.5,0.0,23.5,2.0,1.5,0.0,3.5,27.00,0.00,10.00,10.00,37.00
X,SANJUANDELACOSTA,9.0,0.0,0.0,0.0,0.0,1.3,0.0,1.3,5.05,3.31,0.9,9.26,10.56,0.00,0.10,0.10,10.66
X,PUERTOMONTT,160.0,0.0,0.0,1.2,1.2,0.7,0.0,1.9,70.53,199.98,23.83,294.33,296.23,0.00,17.67,17.67,313.90
X,COCHAMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X,CALBUCO,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,7.25,0.9,9.82,9.82,0.00,0.40,0.40,10.22
X,MAULLIN,8.0,0.0,0.0,0.0,0.0,102.0,4.0,106.0,31.2,76.5,20.0,127.7,233.70,0.00,0.10,0.10,233.80
X,LOSMUERMOS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.0,0.21,0.21,0.00,0.00,0.00,0.21
X,FRESIA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,1.2,1.45,1.45,0.00,0.60,0.60,2.05
X,FRUTILLAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X,LLANQUIHUE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.7,2.8,2.80,0.00,5.00,5.00,7.80
X,PUERTOVARAS,21.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.55,110.92,23.35,137.82,138.82,0.00,20.50,20.50,159.32
X,CASTRO,23.0,0.0,0.0,0.01,0.01,0.3,0.0,0.31,8.7,42.0,11.0,61.7,62.01,0.00,3.20,3.20,65.21
X,ANCUD,12.0,0.1,0.0,0.0,0.1,0.25,0.0,0.35,9.52,10.37,1.5,21.39,21.74,0.00,2.05,2.05,23.79
X,QUEMCHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X,CURACODEVELEZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X,DALCAHUE,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,24.35,3.24,29.58,29.58,0.00,1.50,1.50,31.08
X,QUINCHAO,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.2,5.6,5.60,0.00,0.00,0.00,5.60
X,PUQUELDON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.85,0.05,1.0,1.00,0.00,0.00,0.00,1.00
X,CHONCHI,13.0,0.0,0.31,0.0,0.31,0.0,0.0,0.31,0.78,1.57,0.61,2.96,3.27,0.00,0.86,0.86,4.13
X,QUEILEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X,QUELLON,4.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,2.25,3.5,1.2,6.95,6.96,0.00,0.25,0.25,7.21
X,CHAITEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.5,1.50,0.00,0.00,0.00,1.50
X,PALENA,6.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,1001.55,299.8,0.0,1301.35,1301.55,0.00,0.00,0.00,1301.55
X,FUTALEUFU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.2,1.20,0.00,0.00,0.00,1.20
X,HUALAIHUE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,24.00,0.00,0.00,0.00,24.00
XI,COYHAIQUE,23.0,0.0,51.92,73.0,124.92,0.0,0.0,124.92,46.5,7.29,30.19,83.98,208.90,0.00,6.51,6.51,215.41
XI,LAGOVERDE,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.03,616.98,0.79,1240.8,1240.80,0.00,1.00,1.00,1241.80
XI,AYSEN,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.73,0.0,1.8,1.80,0.00,0.60,0.60,2.40
XI,CISNES,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,6.6,0.35,13.6,13.60,0.00,3.00,3.00,16.60
XI,GUAYTECAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.6,0.6,6.0,6.00,0.00,0.00,0.00,6.00
XI,CHILECHICO,2.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,3.08,301.08,801.08,1105.24,1105.60,0.00,0.00,0.00,1105.60
XI,RIOIBAÑEZ,3.0,0.0,0.0,14.45,14.45,0.0,0.0,14.45,50.02,1733.8,211.49,1995.31,2009.76,0.00,0.00,0.00,2009.76
XI,COCHRANE,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,83.64,77.21,161.7,161.70,0.00,0.00,0.00,161.70
XI,OHIGGINS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.8,0.5,5.9,5.90,0.00,0.00,0.00,5.90
XI,TORTEL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,0.0,58.7,92.4,92.40,0.00,0.00,0.00,92.40
XII,PUNTAARENAS,11.0,0.0,0.0,0.0,0.0,0.0,69.81,69.81,11.83,13.01,3.33,28.17,97.98,0.00,0.90,0.90,98.87
XII,LAGUNABLANCA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.00,0.00,0.00,0.00,1.00
XII,RIOVERDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XII,SANGREGORIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XII,PUERTONATALES,9.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.92,1.49,1.28,3.69,3.89,0.00,0.20,0.20,4.09
XII,TORRESDELPAINE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.5,5.5,5.50,0.00,0.00,0.00,5.50
XII,PORVENIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XII,TIMAUKEL,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,7.3,15.0,30.5,30.50,0.00,0.01,0.01,30.51
XII,PRIMAVERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XII,NAVARINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,COLINA,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,14.4,18.6,18.60,0.50,0.00,0.50,19.10
RM,LAMPA,36.0,0.0,0.0,0.0,0.0,1.2,5.5,6.7,89.65,218.5,612.95,921.1,927.80,44.00,0.00,44.00,971.80
