REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,EUCALIPTO,OTRAS SP.,ARBOLADO,MATORRAL,PASTIZAL,AGRICOLA,DESECHOS,TOTAL SUPERFICIE AFECTADA
XV,ARICA,5.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.83,0.0,0.0,1.33
XV,CAMARONES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.00
XV,PUTRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XV,GENERALLAGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,IQUIQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,ALTOHOSPICIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,POZOALMONTE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.00
I,CAMIÑA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,COLCHANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,HUARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,PICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,ANTOFAGASTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,MEJILLONES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,SIERRAGORDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,TALTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,CALAMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,OLLAGUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,SANPEDRODEATACAMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,TOCOPILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,MARIAELENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,COPIAPÓ,3.0,0.0,0.0,0.0,0.0,0.0,0.36,1.09,0.13,0.0,0.0,1.58
III,CALDERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,TIERRAAMARILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,CHAÑARAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,DIEGODEALMAGRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,VALLENAR,13.0,0.0,0.0,0.0,6.0,0.0,9.63,18.43,11.52,0.0,0.0,45.57
III,ALTODELCARMEN,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05
III,FREIRINA,2.0,0.0,0.0,0.0,6.8,0.0,3.7,0.0,0.0,0.0,0.0,10.50
III,HUASCO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.00
IV,ANDACOLLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,COQUIMBO,18.0,0.0,0.0,0.0,0.9,0.0,0.0,23.57,28.72,0.0,0.0,53.19
IV,LAHIGUERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,LASERENA,9.0,0.0,0.0,0.0,7.0,0.0,0.5,0.76,0.42,0.0,0.0,8.68
IV,PAIHUANO,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.5,0.0,2.80
IV,VICUNA,3.0,0.0,0.0,0.0,7.0,0.0,0.2,5.01,3.4,0.0,0.0,15.61
IV,COMBARBALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,MONTEPATRIA,3.0,0.0,0.0,0.0,0.5,0.0,1.5,1.1,8.2,0.0,0.0,11.30
IV,OVALLE,51.0,0.0,0.0,0.0,16.0,0.0,30.67,20.91,101.21,0.0,0.0,168.79
IV,PUNITAQUI,2.0,0.0,0.0,0.0,1.2,0.0,0.6,80.0,54.81,0.0,0.0,136.61
IV,RIOHURTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,CANELA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,100.25,0.0,0.1,132.35
IV,ILLAPEL,4.0,0.0,0.0,0.0,0.4,0.0,14.0,37.0,19.1,0.0,0.0,70.50
IV,LOSVILOS,9.0,0.0,0.0,0.0,0.0,0.0,4.5,197.06,284.53,0.0,0.0,486.08
IV,MINCHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,SALAMANCA,6.0,0.0,0.0,0.0,3.0,0.0,9.3,8.8,9.4,0.0,0.02,30.52
V,CABILDO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.00
V,LALIGUA,19.0,0.0,0.0,0.0,15.5,24.7,80.96,88.74,77.24,0.0,0.0,287.14
V,PAPUDO,9.0,0.0,0.0,0.0,2.8,0.0,0.05,4.85,6.91,0.0,0.0,14.61
V,PETORCA,1.0,0.0,0.0,0.0,0.0,0.0,0.32,0.5,0.8,0.0,0.0,1.62
V,ZAPALLAR,6.0,0.0,0.0,0.0,8.2,0.0,9.7,27.08,52.23,0.0,0.0,97.21
V,CALLELARGA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,2.21,0.0,0.0,3.52
V,LOSANDES,2.0,0.0,0.0,0.0,1.3,0.0,0.0,7.0,4.9,0.0,0.0,13.20
V,RINCONADA,2.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,4.2,0.0,0.0,6.00
V,SANESTEBAN,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,1.4,0.0,0.0,2.30
V,CATEMU,8.0,0.0,0.0,0.0,1.37,0.0,2.0,7.05,10.85,0.0,0.0,21.27
V,LLAILLAY,7.0,0.0,0.0,0.0,0.02,0.0,2.2,14.01,52.99,0.0,0.0,69.21
V,PANQUEHUE,2.0,0.0,0.0,0.0,0.2,0.0,0.0,0.12,0.11,0.0,0.0,0.43
V,PUTAENDO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.05,0.20
V,SANFELIPE,7.0,0.0,0.0,0.0,0.0,0.0,0.05,24.14,67.94,0.0,0.0,92.13
V,SANTAMARIA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.22,0.0,0.0,4.72
V,HIJUELAS,13.0,0.0,0.0,0.0,0.1,0.0,0.82,12.93,14.86,0.1,0.03,28.83
V,CALERA,15.0,0.0,0.0,0.0,4.77,0.0,1.0,5.17,8.09,0.0,0.06,19.09
V,LACRUZ,18.0,0.0,0.0,0.0,8.2,11.0,5.03,61.03,225.74,0.3,1.1,312.40
V,LIMACHE,78.0,0.0,0.0,0.0,20.38,0.0,209.61,466.0,508.99,0.2,0.03,1205.21
V,NOGALES,26.0,0.0,0.0,0.0,0.76,0.0,1.83,22.18,58.87,0.0,0.0,83.64
V,OLMUE,15.0,0.0,0.0,0.0,0.72,0.0,0.1,22.67,15.89,0.0,0.0,39.38
V,QUILLOTA,34.0,0.0,0.0,0.0,2.0,0.5,0.08,11.61,25.12,0.0,2.94,42.25
V,CASABLANCA,32.0,0.0,0.0,0.4,4.93,0.0,4.26,32.47,141.76,0.0,0.68,184.50
V,CONCON,18.0,0.0,0.0,0.1,0.97,0.0,0.0,3.02,6.35,0.0,0.03,10.47
V,PUCHUNCAVI,5.0,0.0,0.0,0.0,0.03,0.0,0.0,6.04,15.08,0.0,0.04,21.19
V,QUILPUE,90.0,0.0,0.0,0.0,7.24,0.0,137.2,252.32,151.06,0.0,1.31,549.12
V,QUINTERO,8.0,0.0,0.0,0.0,0.1,0.0,0.9,1.68,5.68,0.0,0.0,8.36
V,VALPARAISO,117.0,0.9,2.73,0.48,6.38,0.0,0.39,10.79,11.8,0.0,3.06,36.53
V,VILLAALEMANA,166.0,0.0,0.0,0.0,8.27,2.2,69.85,182.55,274.74,0.0,13.94,551.55
V,VINADELMAR,46.0,0.5,1.15,0.0,0.93,0.0,17.11,31.79,26.43,0.0,0.01,77.91
V,JUANFERNANDEZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,ALGARROBO,13.0,0.7,0.0,0.0,0.5,0.0,0.0,1.93,3.78,0.0,0.17,7.08
V,CARTAGENA,79.0,0.0,0.0,0.0,37.67,0.0,4.02,24.47,115.61,0.0,0.05,181.82
V,ELQUISCO,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1,0.0,0.0,1.30
V,ELTABO,9.0,0.0,0.0,0.0,0.55,0.0,0.0,0.25,23.05,0.0,0.1,23.95
V,SANANTONIO,74.0,7.12,1.1,0.0,8.83,0.0,5.99,75.09,296.46,0.0,64.56,459.15
V,SANTODOMINGO,23.0,0.0,0.0,0.0,10.02,0.0,3.2,65.43,157.33,0.7,1.8,238.48
V,ISLADEPASCUA,33.0,0.0,0.0,0.0,30.0,0.0,20.0,4.0,933.7,0.0,27.5,1015.20
VI,RANCAGUA,5.0,0.0,0.0,0.0,0.5,0.0,0.0,0.05,6.35,7.5,0.6,15.00
VI,MACHALI,14.0,0.0,0.0,0.0,2.44,0.0,2.7,3.88,2.56,0.0,1.38,12.95
VI,GRANEROS,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.3,0.7,0.0,0.0,13.00
VI,CODEGUA,6.0,0.0,0.0,0.0,12.35,0.0,0.6,4.25,3.04,0.0,0.0,20.24
VI,MOSTAZAL,11.0,0.0,0.0,0.0,4.5,0.0,105.7,43.2,123.88,0.0,1.0,278.28
VI,REQUINOA,5.0,0.0,0.0,0.0,2.0,0.0,0.0,6.1,10.3,0.0,0.5,18.90
VI,OLIVAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI,RENGO,21.0,0.0,0.2,0.0,34.55,0.0,37.23,19.13,13.1,0.0,0.35,104.55
VI,QUINTADETILCOCO,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,11.2,0.0,0.0,15.00
VI,MALLOA,4.0,0.0,0.0,0.0,1.1,0.0,50.0,125.7,100.7,0.0,0.0,277.50
VI,SANVICENTETAGUATAGUA,26.0,0.0,0.0,0.0,13.85,0.2,19.7,32.32,35.22,2.0,0.7,103.99
VI,DONIHUE,6.0,0.0,0.0,0.0,0.1,0.0,1.05,2.6,8.55,0.0,0.0,12.30
VI,COINCO,7.0,0.0,0.0,0.0,0.0,0.0,5.4,13.22,47.16,0.0,0.0,65.78
VI,COLTAUCO,29.0,0.0,0.0,0.0,0.2,0.0,24.47,22.57,17.19,0.0,1.2,65.63
VI,PICHIDEGUA,5.0,0.0,0.0,0.0,0.3,1.0,6.7,13.5,35.2,0.0,0.0,56.70
VI,PEUMO,7.0,0.0,0.0,0.0,0.0,0.0,0.25,0.66,0.31,0.0,0.6,1.81
VI,LASCABRAS,23.0,0.0,0.0,0.0,1.9,0.0,49.65,114.0,65.6,0.0,3.15,234.30
VI,SANFERNANDO,18.0,0.0,0.0,0.0,0.3,0.11,4.92,8.67,10.42,0.0,8.95,33.36
VI,CHIMBARONGO,7.0,0.0,0.0,0.0,0.75,2.8,10.9,10.3,23.2,0.0,0.0,47.95
VI,NANCAGUA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.00
VI,PLACILLA,4.0,0.0,0.0,0.0,0.25,0.0,2.0,6.2,3.0,0.0,0.0,11.45
VI,CHEPICA,6.0,0.0,0.0,0.0,0.0,15.15,0.8,39.85,0.51,0.0,1.0,57.31
VI,SANTACRUZ,12.0,0.0,0.0,3.3,0.7,0.0,2.1,15.1,20.45,0.0,13.5,55.15
VI,PALMILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI,LOLOL,9.0,0.0,0.0,0.0,1.0,0.0,0.6,7.8,13.72,3.5,0.6,27.22
VI,PUMANQUE,3.0,0.0,0.0,0.0,0.1,1.0,0.35,0.2,1.65,0.0,0.0,3.30
VI,PERALILLO,8.0,0.0,0.0,0.0,0.6,10.0,0.0,11.2,28.7,0.0,20.0,70.50
VI,PICHILEMU,9.0,0.04,2.06,5.66,0.03,0.0,0.6,0.89,0.0,0.0,0.0,9.28
VI,PAREDONES,5.0,6.0,0.03,10.9,3.8,0.0,0.0,2.3,0.94,0.0,0.07,24.04
VI,MARCHIHUE,13.0,0.0,0.0,20.0,0.4,0.0,84.1,233.39,50.55,0.0,0.0,388.44
VI,LITUECHE,5.0,0.0,0.0,5.0,0.3,0.0,0.8,2.2,11.1,0.0,0.2,19.60
VI,LAESTRELLA,14.0,0.0,0.0,0.0,2.0,0.02,25.35,42.93,144.1,0.0,2.0,216.40
VI,NAVIDAD,5.0,0.0,0.0,0.0,0.0,0.0,1.5,2.77,4.53,0.0,0.0,8.80
VII,CURICO,66.0,1.3,0.8,0.47,38.0,0.0,16.0,68.49,79.99,0.3,3.0,208.35
VII,RAUCO,6.0,0.0,0.0,0.0,0.4,0.0,0.0,3.7,7.71,0.0,0.0,11.81
VII,ROMERAL,11.0,0.0,0.0,52.23,0.0,0.0,163.7,27.19,21.99,0.0,4.02,269.13
VII,TENO,32.0,0.0,0.0,7.0,5.85,0.0,38.2,20.1,68.6,0.6,4.1,144.45
