REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,EUCALIPTO,OTRAS SP.,ARBOLADO,MATORRAL,PASTIZAL,AGRICOLA,DESECHOS,TOTAL SUPERFICIE AFECTADA
XV,ARICA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.63,0.0,0.0,3.23
XV,CAMARONES,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.3,18.19,0.0,0.0,18.50
XV,PUTRE,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,1.10
XV,GENERALLAGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
I,IQUIQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
I,ALTOHOSPICIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
I,POZOALMONTE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05
I,CAMIÑA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
I,COLCHANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
I,HUARA,6.0,0.0,0.0,0.0,0.0,0.0,0.03,5.92,0.58,0.0,0.2,6.73
I,PICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
II,ANTOFAGASTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
II,MEJILLONES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
II,SIERRAGORDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
II,TALTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
II,CALAMA,8.0,0.0,0.0,0.0,0.0,12.0,0.03,14.39,27.71,0.0,0.0,54.13
II,OLLAGUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
II,SANPEDRODEATACAMA,3.0,0.0,0.0,0.0,0.0,0.06,0.03,0.0,0.03,0.0,0.0,0.13
II,TOCOPILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
II,MARIAELENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
III,COPIAPÓ,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.20
III,CALDERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
III,TIERRAAMARILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
III,CHAÑARAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
III,DIEGODEALMAGRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
III,VALLENAR,24.0,0.0,0.0,0.0,10.31,0.02,9.87,16.32,3.06,0.01,0.0,39.58
III,ALTODELCARMEN,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.51,0.0,0.0,1.51
III,FREIRINA,5.0,0.0,0.0,0.0,1.75,0.0,2.25,3.7,2.5,0.0,0.0,10.20
III,HUASCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
IV,ANDACOLLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
IV,COQUIMBO,15.0,0.0,0.0,0.0,0.1,0.0,0.06,16.32,11.76,0.0,0.0,28.25
IV,LAHIGUERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
IV,LASERENA,15.0,0.0,0.0,0.0,6.71,0.01,0.12,0.33,0.69,0.0,0.0,7.86
IV,PAIHUANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
IV,VICUNA,5.0,0.0,0.0,0.0,0.55,0.0,1.79,2.5,0.76,0.2,0.5,6.30
