REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,EUCALIPTO,OTRAS SP.,ARBOLADO,MATORRAL,PASTIZAL,AGRICOLA,DESECHOS,TOTAL SUPERFICIE AFECTADA
XV,ARICA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.63,0.0,0.0,4.89
XV,CAMARONES,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.3,18.19,0.0,0.0,8.00
XV,PUTRE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,10.7,0.0,0.0,11.87
XV,GENERALLAGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,IQUIQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,ALTOHOSPICIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,POZOALMONTE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.18,0.0,0.0,1.00
I,CAMIÑA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,COLCHANE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,HUARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,PICA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04
II,ANTOFAGASTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,MEJILLONES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,SIERRAGORDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,TALTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,CALAMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,OLLAGUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,SANPEDRODEATACAMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,TOCOPILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,MARIAELENA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,COPIAPÓ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,CALDERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,TIERRAAMARILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,CHAÑARAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,DIEGODEALMAGRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,VALLENAR,18.0,0.2,0.0,0.0,5.0,0.0,4.86,8.67,29.81,0.0,1.1,49.64
III,ALTODELCARMEN,3.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.5,0.0,0.0,0.80
III,FREIRINA,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,1.25,0.0,0.26,2.27
III,HUASCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,ANDACOLLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,COQUIMBO,6.0,0.0,0.0,0.0,0.55,0.0,0.0,0.41,1.02,0.0,0.2,2.18
IV,LAHIGUERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,LASERENA,10.0,0.0,0.0,0.0,0.03,0.0,0.01,4.51,0.3,0.0,0.0,4.85
IV,PAIHUANO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
IV,VICUNA,5.0,0.0,0.0,0.0,1.83,0.0,1.46,3.64,1.0,0.5,0.0,8.43
IV,COMBARBALA,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,2.0,0.0,0.0,5.00
IV,MONTEPATRIA,5.0,0.0,0.0,0.0,0.0,0.0,2.2,0.7,0.7,0.0,0.0,3.60
IV,OVALLE,44.0,0.0,0.0,0.0,8.78,0.0,23.1,36.42,48.8,0.0,0.1,117.20
IV,PUNITAQUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,RIOHURTADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,CANELA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,ILLAPEL,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,13.7,0.0,0.0,21.20
IV,LOSVILOS,9.0,0.0,0.0,0.0,0.0,0.0,16.1,12.8,18.02,0.0,0.22,47.13
IV,MINCHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,SALAMANCA,2.0,0.0,0.0,0.0,1.7,0.0,4.0,28.0,32.0,0.0,0.0,65.70
V,CABILDO,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.3,0.0,0.0,3.10
V,LALIGUA,29.0,0.98,0.0,0.0,9.01,0.0,37.01,24.92,104.89,0.0,0.0,176.81
V,PAPUDO,13.0,0.0,0.0,0.0,0.39,0.0,0.0,2.22,2.23,0.0,0.0,4.83
V,PETORCA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.38,0.0,0.0,1.58
V,ZAPALLAR,8.0,0.0,0.0,0.0,0.1,0.0,0.0,0.51,2.56,0.0,0.0,3.17
V,CALLELARGA,3.0,0.0,0.0,0.0,0.0,0.0,0.27,0.53,0.54,0.0,0.0,1.34
V,LOSANDES,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,1.07,0.0,0.03,1.92
V,RINCONADA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.50
V,SANESTEBAN,2.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.03,0.0,0.0,0.13
V,CATEMU,12.0,0.0,0.0,0.0,1.42,0.0,1.3,6.14,11.05,0.0,0.0,19.91
V,LLAILLAY,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.54,0.73,0.0,0.0,1.32
V,PANQUEHUE,13.0,0.0,0.0,0.0,0.15,0.0,0.7,7.19,7.94,0.0,0.0,15.98
V,PUTAENDO,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.48,0.0,0.0,0.60
V,SANFELIPE,18.0,0.0,0.0,0.0,1.52,0.0,0.45,7.83,14.6,1.5,11.6,37.50
V,SANTAMARIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.25
V,HIJUELAS,18.0,0.0,0.0,0.0,0.34,0.0,0.7,8.35,6.53,0.1,0.0,16.02
V,CALERA,21.0,0.0,0.0,0.0,0.5,0.01,0.0,3.11,2.68,0.0,0.36,6.66
V,LACRUZ,10.0,0.02,0.0,0.0,0.0,0.0,0.05,2.47,3.31,2.2,0.0,8.05
V,LIMACHE,58.0,0.05,0.0,0.0,1.22,0.0,3.37,32.72,47.84,0.0,0.25,85.44
V,NOGALES,44.0,0.0,0.0,0.0,1.74,0.0,16.41,56.64,63.36,0.0,0.0,138.15
V,OLMUE,22.0,0.0,0.0,0.0,0.22,0.4,4.72,21.64,33.44,0.1,0.05,60.57
V,QUILLOTA,31.0,0.0,0.0,0.0,0.5,0.0,0.2,16.43,23.01,0.0,0.15,40.29
V,CASABLANCA,39.0,0.0,5.7,12.55,17.75,0.7,117.42,150.4,93.73,0.0,15.01,413.26
V,CONCON,14.0,0.08,0.14,0.0,0.11,0.0,0.0,1.63,3.61,0.0,0.0,5.57
V,PUCHUNCAVI,13.0,0.0,0.0,0.0,0.17,0.0,260.6,37.07,26.67,0.0,0.0,324.51
V,QUILPUE,73.0,0.0,0.2,13.7,31.03,0.0,16.77,71.14,114.74,0.0,2.67,250.24
V,QUINTERO,16.0,0.1,0.0,0.1,13.33,0.0,17.9,11.44,37.93,1.0,0.55,82.35
V,VALPARAISO,166.0,0.04,0.84,10.18,25.99,0.02,4.17,20.25,19.42,0.0,12.81,93.71
V,VILLAALEMANA,72.0,0.0,0.0,0.0,6.8,0.3,3.32,37.48,80.49,0.0,0.01,128.39
V,VINADELMAR,52.0,0.34,0.53,1.0,2.25,0.0,0.19,16.83,20.33,0.0,0.03,41.50
V,JUANFERNANDEZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,ALGARROBO,11.0,0.0,0.02,0.08,0.16,0.6,0.0,2.76,3.77,0.0,0.01,7.39
V,CARTAGENA,29.0,0.02,0.0,0.03,0.53,0.0,0.0,2.16,3.8,0.0,5.15,11.69
V,ELQUISCO,6.0,0.0,0.01,0.0,0.31,0.0,0.0,1.15,2.85,0.0,0.45,4.77
V,ELTABO,7.0,0.0,0.0,0.0,3.45,0.0,0.0,0.55,5.57,0.0,0.1,9.67
V,SANANTONIO,55.0,0.0,0.7,0.2,21.12,0.1,35.2,140.73,74.07,0.0,4.13,276.24
V,SANTODOMINGO,17.0,0.0,0.0,33.71,341.6,34.83,570.35,361.14,555.13,0.0,0.0,1896.76
V,ISLADEPASCUA,18.0,0.0,0.0,0.0,36.3,0.2,0.5,16.8,172.27,0.0,0.0,226.07
VI,RANCAGUA,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,20.1,0.0,0.1,23.70
VI,MACHALI,19.0,0.0,0.0,0.0,12.2,0.0,39.62,89.62,31.85,0.0,0.1,173.39
VI,GRANEROS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.51,0.0,0.01,2.01
VI,CODEGUA,5.0,0.0,0.0,0.0,1.7,0.0,8.0,41.3,21.4,0.0,0.7,73.10
VI,MOSTAZAL,6.0,0.0,0.0,0.0,0.0,0.0,22.0,45.02,34.65,0.0,0.0,101.67
VI,REQUINOA,9.0,0.0,0.0,0.0,0.4,0.0,70.15,102.1,108.78,0.0,47.0,328.43
VI,OLIVAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI,RENGO,24.0,0.0,0.0,0.0,4.06,0.2,85.8,138.42,114.87,5.8,11.1,360.25
VI,QUINTADETILCOCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI,MALLOA,10.0,0.0,0.0,0.0,11.0,0.0,1.1,22.22,31.51,0.75,1.77,68.35
VI,SANVICENTETAGUATAGUA,26.0,0.0,0.0,0.0,2.83,0.0,1.26,14.76,34.05,0.0,0.1,53.00
VI,DONIHUE,6.0,0.0,0.0,0.0,2.11,0.0,0.99,4.0,1.8,0.0,0.0,8.90
VI,COINCO,11.0,0.0,0.0,0.0,2.3,1.25,0.0,11.05,18.0,0.0,0.0,32.60
VI,COLTAUCO,31.0,0.0,0.0,0.0,0.1,0.1,14.82,14.42,18.52,6.3,0.01,54.27
VI,PICHIDEGUA,16.0,0.0,0.0,0.0,1.0,0.0,1.51,37.78,7.23,0.7,5.1,53.32
VI,PEUMO,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.6,0.0,0.05,2.90
VI,LASCABRAS,26.0,0.0,1.0,0.0,4.07,0.0,24.11,146.33,103.46,0.0,1.0,279.97
VI,SANFERNANDO,23.0,0.0,0.0,0.0,5.65,0.15,9.0,10.17,16.2,2.05,23.28,66.50
VI,CHIMBARONGO,5.0,0.0,0.0,0.0,0.9,0.0,0.0,1.2,9.3,0.0,0.5,11.90
VI,NANCAGUA,3.0,0.0,0.0,0.0,0.2,0.41,0.0,0.91,0.3,0.0,0.0,1.81
VI,PLACILLA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.30
VI,CHEPICA,6.0,0.0,0.0,0.0,0.0,0.5,26.2,32.02,25.04,0.28,0.0,84.04
VI,SANTACRUZ,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,1.6,0.0,0.0,5.02
VI,PALMILLA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.17,0.0,0.0,0.19
VI,LOLOL,13.0,2.0,15.6,0.0,4.32,0.0,0.0,17.55,11.35,0.0,5.3,56.12
VI,PUMANQUE,8.0,0.0,1.8,0.0,0.1,0.0,0.05,6.55,25.49,0.0,0.01,34.00
VI,PERALILLO,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5,0.0,0.1,2.00
VI,PICHILEMU,8.0,0.3,0.0,32.12,54.1,0.0,9.2,15.05,20.9,2.0,2.2,135.87
VI,PAREDONES,24.0,1055.97,642.0,0.4,195.4,0.0,0.1,210.08,305.44,0.0,135.25,2544.64
VI,MARCHIHUE,10.0,0.0,0.0,0.0,0.6,0.0,0.0,4.67,14.02,0.0,0.01,19.30
VI,LITUECHE,23.0,0.0,2.0,0.1,12.8,0.1,77.2,39.48,21.92,0.0,0.66,154.26
VI,LAESTRELLA,6.0,0.0,0.0,0.0,0.8,0.3,15.2,10.53,48.02,0.0,0.0,74.85
VI,NAVIDAD,4.0,0.0,0.0,28.0,102.3,0.6,74.2,39.7,89.85,0.0,5.0,339.65
VII,CURICO,80.0,3.0,0.0,8.71,24.82,0.0,104.0,150.84,77.33,0.0,3.07,371.76
VII,RAUCO,8.0,0.0,0.0,0.0,0.0,0.0,2.9,3.6,11.1,0.0,1.0,18.60
VII,ROMERAL,16.0,0.0,0.0,0.0,20.45,8.6,1.5,626.26,91.85,0.0,0.04,748.70
VII,TENO,21.0,0.0,0.0,0.0,1.6,0.0,5.0,22.8,59.97,32.2,11.0,132.57
VII,VICHUQUEN,34.0,0.0,2.81,68.81,15.33,0.0,0.2,17.17,1.1,0.0,3.37,108.79
VII,LICANTEN,6.0,0.0,0.0,0.2,0.0,0.0,0.0,1.19,0.0,0.0,0.7,2.09
VII,HUALANE,23.0,50.0,0.0,0.0,0.8,0.0,0.02,4.27,21.76,0.03,0.05,76.92
VII,MOLINA,30.0,0.43,0.28,0.0,4.59,0.0,23.25,36.77,45.96,0.61,0.0,111.89
VII,SAGRADAFAMILIA,25.0,1.2,0.0,4.9,0.41,0.0,0.75,47.9,43.86,0.0,0.51,99.52
VII,TALCA,75.0,0.0,0.0,0.0,0.48,1.9,4.61,9.38,71.79,0.0,1.59,89.74
VII,SANCLEMENTE,58.0,2.35,0.0,0.2,2.25,0.33,9.27,9.85,73.13,0.5,4.31,102.18
VII,PELARCO,16.0,23.77,0.0,0.0,1.15,0.0,0.1,2.45,18.3,0.0,0.3,46.07
VII,RIOCLARO,27.0,1.56,0.0,0.0,7.9,0.0,0.3,9.35,18.79,1.4,4.52,43.82
VII,PENCAHUE,18.0,0.0,0.0,610.0,0.5,0.0,230.1,145.26,129.73,0.01,0.01,1115.61
VII,MAULE,62.0,1.0,0.0,0.0,6.06,0.0,3.59,16.37,76.74,0.2,0.35,104.31
VII,CUREPTO,20.0,17.0,27.0,0.0,0.15,0.0,2.0,12.97,4.24,1.0,0.01,64.37
VII,CONSTITUCION,32.0,0.0,0.0,3.2,0.42,0.0,0.0,10.91,1.07,0.0,1.92,17.52
VII,EMPEDRADO,8.0,9.3,0.0,10.3,0.0,0.0,0.0,47.96,0.0,0.0,0.37,67.93
VII,SANRAFAEL,15.0,0.0,0.0,0.0,6.5,0.0,1.05,10.18,14.09,0.1,0.1,32.02
VII,LINARES,51.0,0.0,2.3,20.9,2.0,0.0,92.33,37.1,117.68,0.66,1.01,273.97
VII,YERBASBUENAS,20.0,0.0,0.0,0.0,0.95,0.0,2.0,6.06,18.9,16.31,8.36,52.58
VII,COLBUN,10.0,0.02,0.02,0.0,0.0,0.0,65.1,196.1,56.08,0.0,0.0,317.32
VII,LONGAVI,43.0,0.11,0.1,0.07,0.0,0.5,370.02,133.83,260.96,4.93,12.96,783.48
VII,PARRAL,40.0,394.09,0.0,103.11,0.0,0.0,807.7,19.64,187.9,14.8,121.52,1648.76
VII,RETIRO,37.0,0.0,0.0,0.0,7.1,1.55,8.95,20.87,27.57,0.6,1.9,68.54
VII,SANJAVIER,96.0,5.63,0.0,0.55,18.92,2.01,20.27,224.88,149.0,2.0,22.93,446.19
VII,VILLAALEGRE,7.0,0.0,0.0,0.0,0.3,0.0,1.5,1.1,3.15,0.05,1.5,7.60
VII,CAUQUENES,63.0,1.58,0.2,100.0,3.3,0.0,2.21,151.03,81.43,2.5,0.03,342.28
VII,CHANCO,6.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.85,1.22
VII,PELLUHUE,4.0,0.25,0.0,0.0,0.3,0.0,0.0,0.32,0.25,0.0,0.05,1.17
XVI,BULNES,24.0,0.0,0.0,0.0,0.0,0.0,0.71,12.69,21.68,0.0,5.35,40.43
XVI,CHILLAN,65.0,15.06,4.4,0.1,13.75,5.0,17.6,108.78,226.99,12.0,5.67,409.35
XVI,PINTO,11.0,0.0,0.0,0.0,0.4,0.04,49.0,77.02,19.5,0.0,3.03,148.99
XVI,CHILLANVIEJO,37.0,0.0,0.0,2.0,27.71,0.0,0.0,22.04,23.44,0.82,1.25,77.26
XVI,ELCARMEN,20.0,0.0,0.0,1.5,1.28,0.0,0.18,2.13,1.43,0.77,14.73,22.02
XVI,PEMUCO,24.0,1.3,0.0,0.88,0.0,0.0,0.0,82.03,46.75,0.0,5.76,136.72
XVI,QUILLON,57.0,9.18,0.0,13.18,7.8,0.04,5.81,40.01,24.98,0.0,0.07,101.07
XVI,SANIGNACIO,11.0,0.0,0.0,0.0,0.0,0.0,0.21,2.26,6.67,15.5,11.5,36.14
XVI,YUNGAY,13.0,12.37,16.22,0.0,0.07,0.0,0.0,15.57,40.33,0.0,50.05,134.61
XVI,COBQUECURA,3.0,0.0,0.0,0.0,0.0,0.01,0.0,0.17,0.03,0.0,0.54,0.75
XVI,COELEMU,39.0,1.3,110.18,0.35,106.03,0.0,0.0,35.49,31.8,23.5,0.01,308.65
XVI,NINHUE,11.0,0.0,0.9,0.0,0.85,0.0,0.0,11.64,32.91,1.5,1.0,48.80
XVI,PORTEZUELO,13.0,20.5,19.91,0.7,19.8,7.0,0.0,45.66,64.63,1.0,0.0,179.20
XVI,QUIRIHUE,16.0,0.14,0.8,0.46,1.19,0.0,0.0,16.82,3.55,0.0,1.86,24.82
XVI,RANQUIL,33.0,0.8,33.82,1.0,8.94,0.0,0.06,43.51,7.64,0.09,0.2,96.05
XVI,TREGUACO,8.0,0.0,2.0,0.0,2.0,0.0,0.1,5.62,4.82,0.0,0.0,14.54
XVI,COIHUECO,57.0,0.0,425.86,0.37,101.83,0.8,329.19,535.79,65.63,0.0,25.89,1485.35
XVI,NIQUEN,19.0,0.4,0.0,0.0,25.58,0.0,0.3,201.46,125.86,1.1,10.19,364.89
XVI,SANCARLOS,45.0,86.51,0.0,4.6,8.0,0.4,0.0,64.7,117.23,0.6,19.08,301.12
XVI,SANFABIAN,18.0,0.44,2.55,0.0,3.46,0.91,0.65,7.88,1.43,0.0,0.0,17.32
XVI,SANNICOLAS,23.0,15.46,6.5,1.21,8.73,0.0,0.0,37.09,57.91,1.5,0.4,128.80
XVI,LOSANGELES,194.0,39.09,7.59,5.85,5.55,0.28,0.32,84.88,66.56,0.0,7.69,217.80
XVI,LAJA,28.0,22.92,38.39,6.01,0.0,0.0,0.0,36.56,16.06,0.2,0.03,120.17
XVI,SANROSENDO,16.0,0.2,0.3,14.0,2.0,0.0,0.0,9.93,7.4,0.03,6.52,40.38
XVI,YUMBEL,34.0,2.25,0.15,0.2,1.36,0.0,1.0,10.18,28.89,1.0,1.0,46.03
XVI,CABRERO,41.0,5.05,4.1,0.57,1.74,0.0,0.3,8.88,18.42,0.0,2.55,41.61
XVI,TUCAPEL,16.0,7.31,0.0,0.8,34.83,0.0,5.04,13.02,4.9,0.0,113.37,179.27
XVI,QUILLECO,21.0,0.19,1.24,0.0,0.4,0.01,0.0,5.57,0.69,0.92,0.57,9.59
XVI,SANTABARBARA,12.0,0.0,0.15,0.0,0.0,0.0,0.0,8.57,1.43,0.0,0.6,10.75
XVI,ALTOBIOBIO,18.0,0.0,0.0,0.0,1.41,0.0,141.32,7.11,49.0,0.0,0.2,199.04
XVI,QUILACO,14.0,66.32,127.0,47.74,228.97,1.51,34.1,67.48,80.44,0.0,156.78,810.34
XVI,MULCHEN,156.0,68.94,3.85,1.39,90.03,0.2,40.88,109.59,134.37,229.53,153.57,832.34
XVI,NACIMIENTO,35.0,0.24,319.23,205.35,1112.36,0.0,0.05,986.92,2.38,3.0,55.18,2684.71
XVI,NEGRETE,20.0,0.0,0.0,0.0,3.22,0.0,0.06,7.97,8.84,0.08,0.0,20.17
XVI,ANTUCO,3.0,0.0,0.0,0.0,0.0,0.0,2.9,2.54,0.13,0.0,0.0,5.57
XVI,CONCEPCION,21.0,0.0,0.0,0.53,0.25,0.0,0.0,1.31,0.58,0.0,0.0,2.67
XVI,TALCAHUANO,26.0,0.7,0.0,0.21,0.16,0.0,0.0,2.93,7.34,0.0,0.1,11.43
XVI,HUALPEN,11.0,0.0,0.0,0.4,0.0,0.0,0.0,1.82,3.36,0.0,0.0,5.58
XVI,PENCO,59.0,3.18,0.0,0.57,8.18,0.0,0.0,35.85,5.79,0.0,4.72,58.28
XVI,TOME,213.0,0.96,0.02,0.83,9.36,0.0,0.23,32.38,1.65,0.0,2.91,48.34
XVI,FLORIDA,58.0,0.3,5.0,3.46,0.7,0.0,0.0,34.89,4.01,0.0,0.79,49.15
XVI,HUALQUI,54.0,0.0,0.35,0.0,4.7,0.0,0.02,37.49,4.61,0.0,1.94,49.11
XVI,SANTAJUANA,35.0,9.08,4.33,4.66,4.73,0.0,0.0,22.66,29.55,0.0,0.45,75.47
XVI,LOTA,85.0,0.0,0.0,0.0,3.19,0.0,0.0,14.8,0.17,0.0,0.12,18.27
XVI,CORONEL,57.0,5.24,0.0,0.0,14.55,0.0,0.0,93.15,16.2,0.0,1.05,130.18
XVI,SANPEDRODELAPAZ,53.0,1.9,0.33,0.96,1.0,0.08,0.0,12.28,18.95,0.0,0.4,35.90
XVI,CHIGUAYANTE,10.0,0.0,0.0,0.0,0.05,0.0,0.2,4.62,2.71,0.0,0.0,7.58
XVI,LEBU,210.0,0.02,0.15,0.72,4.34,0.0,4.35,47.87,2.12,0.0,6.54,66.11
XVI,CURANILAHUE,123.0,1.54,0.15,0.0,1.36,0.0,0.0,36.85,0.38,0.0,6.66,46.93
XVI,ARAUCO,61.0,3.33,0.0,0.0,11.75,0.0,0.0,17.47,1.79,0.0,9.89,44.22
XVI,LOSALAMOS,116.0,6.01,0.0,0.12,171.71,0.0,1.2,54.45,10.97,0.0,7.47,251.92
XVI,CANETE,177.0,1871.17,1.24,13.05,73.48,0.0,2.05,212.92,124.18,0.0,214.75,2512.84
XVI,CONTULMO,34.0,0.06,0.8,0.1,97.29,0.0,0.2,24.1,0.26,0.0,6.28,129.09
XVI,TIRUA,123.0,76.75,162.33,544.04,211.83,0.0,0.5,298.34,71.51,0.0,351.56,1716.86
IX,ANGOL,88.0,10.31,1.09,0.07,289.86,1.6,1.46,183.1,126.05,0.0,20.2,633.74
IX,PUREN,35.0,33.11,1.97,12.25,76.55,0.0,8.2,11.84,1.64,0.0,19.79,165.35
IX,LOSSAUCES,39.0,10.91,22.5,20.6,51.57,0.0,4.5,79.36,122.86,7.6,11.25,331.15
IX,RENAICO,11.0,1.99,0.0,0.0,0.47,0.28,0.5,8.85,5.99,0.0,6.0,24.08
IX,COLLIPULLI,250.0,159.25,4.65,66.5,83.75,0.25,13.84,340.89,102.71,65.06,221.45,1058.35
IX,ERCILLA,116.0,32.7,142.61,130.4,239.01,0.5,40.45,523.3,487.31,160.88,68.35,1825.51
